ID,mag_name,completeness,contamination,assembly_type,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,host_species,closest_placement_ani,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,DM_batch,closest_placement_af,fastani_ani,MAG_url,AB_batch,taxonomy_level,DM_batch 2,sample_type,anno_url,gbk_url,kegg_url,dereplicated_old,annotated,dereplicated,coding_density,host_order,host_class,percent_unannotated_kegg
EHM079250,EHA05415_bin.108.fa,75.67,1.07,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__,Vombatus ursinus,0.00,1969883,29.00%,35698,129,1787,49,1787,760,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.108.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079250_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079250.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079250_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,57.5
EHM079251,EHA05415_bin.109.fa,68.75,0.42,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__,Vombatus ursinus,77.98,1683743,30.00%,18284,143,1564,40,1564,627,0,,DMB0179,0.30,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.109.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079251_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079251.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079251_kegg.tsv.gz,false,true,DMB0179,0.93,Diprotodontia,Mammalia,59.9
EHM079252,EHA05415_bin.11.fa,98.46,0.39,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__,s__,Vombatus ursinus,0.00,2462158,58.00%,48453,102,1922,104,1922,941,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.11.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079252_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079252.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079252_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,51.0
EHM079253,EHA05415_bin.110.fa,93.73,0.82,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__UBA1783,s__,Vombatus ursinus,0.00,1777000,31.00%,90898,49,1698,30,1698,789,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.110.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079253_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079253.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079253_kegg.tsv.gz,false,true,DMB0179,0.90,Diprotodontia,Mammalia,53.5
EHM079254,EHA05415_bin.111.fa,97.40,0.04,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__,Vombatus ursinus,78.59,1990112,30.00%,106418,41,1781,51,1781,837,0,,DMB0179,0.39,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.111.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079254_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079254.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079254_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,53.0
EHM079255,EHA05415_bin.112.fa,99.63,0.89,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__,s__,Vombatus ursinus,0.00,1612514,31.00%,41467,61,1598,51,1598,730,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.112.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079255_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079255.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079255_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,54.3
EHM079256,EHA05415_bin.113.fa,78.14,0.56,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__UBA6984,s__,Vombatus ursinus,80.73,1301889,30.00%,26774,78,1256,34,1256,609,0,,DMB0179,0.71,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.113.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079256_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079256.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079256_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,51.5
EHM079257,EHA05415_bin.114.fa,96.63,0.00,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__RGIG9670,s__,Vombatus ursinus,0.00,1054519,31.00%,112913,16,966,21,966,482,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.114.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079257_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079257.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079257_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,50.1
EHM079258,EHA05415_bin.115.fa,96.13,0.48,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__,s__,Vombatus ursinus,0.00,1939004,36.00%,32637,114,1831,25,1831,791,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.115.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079258_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079258.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079258_kegg.tsv.gz,false,true,DMB0179,0.90,Diprotodontia,Mammalia,56.8
EHM079259,EHA05415_bin.116.fa,91.06,0.14,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellia,o__RFP12,f__JAAYLN01,g__,s__,Vombatus ursinus,0.00,2197546,48.00%,42248,110,1809,94,1809,760,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.116.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079259_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079259.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079259_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,58.0
EHM079260,EHA05415_bin.117.fa,87.13,0.36,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RGIG10190,s__,Vombatus ursinus,0.00,2586555,49.00%,16332,236,2144,91,2144,891,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.117.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079260_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079260.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079260_kegg.tsv.gz,false,true,DMB0179,0.87,Diprotodontia,Mammalia,58.4
EHM079261,EHA05415_bin.118.fa,67.48,0.14,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__,s__,Vombatus ursinus,0.00,588170,35.00%,16561,53,577,19,577,339,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.118.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079261_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079261.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079261_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,41.2
EHM079262,EHA05415_bin.119.fa,91.67,0.77,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UBA1740,s__,Vombatus ursinus,0.00,1679623,50.00%,39811,61,1431,48,1431,704,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.119.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079262_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079262.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079262_kegg.tsv.gz,false,true,DMB0179,0.85,Diprotodontia,Mammalia,50.8
EHM079263,EHA05415_bin.12.fa,85.65,0.41,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__F23-D06,s__,Vombatus ursinus,0.00,1737290,44.00%,77813,31,1467,40,1467,719,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.12.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079263_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079263.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079263_kegg.tsv.gz,false,true,DMB0179,0.93,Diprotodontia,Mammalia,51.0
EHM079264,EHA05415_bin.120.fa,79.89,0.50,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__HGM11412,s__,Vombatus ursinus,76.94,1400997,31.00%,30157,72,1313,44,1313,608,0,,DMB0179,0.19,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.120.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079264_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079264.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079264_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,53.7
EHM079265,EHA05415_bin.121.fa,76.84,0.56,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__UBA1259,s__,Vombatus ursinus,76.91,1388763,36.00%,39507,51,1287,29,1287,635,0,,DMB0179,0.12,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.121.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079265_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079265.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079265_kegg.tsv.gz,false,true,DMB0179,0.90,Diprotodontia,Mammalia,50.7
EHM079266,EHA05415_bin.122.fa,96.26,0.00,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__Borkfalkiaceae,g__,s__,Vombatus ursinus,0.00,1196297,37.00%,36772,42,1118,26,1118,629,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.122.fa.gz,ABB0616,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079266_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079266.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079266_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,43.7
EHM079267,EHA05415_bin.123.fa,71.71,2.97,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__CAG-196,s__,Vombatus ursinus,78.57,1475153,33.00%,24540,75,1436,39,1436,573,0,,DMB0179,0.44,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.123.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079267_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079267.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079267_kegg.tsv.gz,false,true,DMB0179,0.90,Diprotodontia,Mammalia,60.1
EHM079268,EHA05415_bin.124.fa,97.04,0.23,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RUG678,s__,Vombatus ursinus,76.52,2298748,47.00%,45054,72,2127,39,2127,1076,0,,DMB0179,0.13,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.124.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079268_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079268.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079268_kegg.tsv.gz,false,true,DMB0179,0.88,Diprotodontia,Mammalia,49.4
EHM079269,EHA05415_bin.125.fa,76.33,2.10,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Limivicinus,s__,Vombatus ursinus,78.43,1941560,48.00%,22320,124,1789,36,1789,901,0,,DMB0179,0.26,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.125.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079269_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079269.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079269_kegg.tsv.gz,false,true,DMB0179,0.91,Diprotodontia,Mammalia,49.6
EHM079270,EHA05415_bin.126.fa,89.01,3.32,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-448,s__,Vombatus ursinus,79.35,2186048,59.00%,7536,382,1817,104,1816,734,1,0.1,DMB0179,0.50,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.126.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079270_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079270.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079270_kegg.tsv.gz,false,true,DMB0179,0.90,Diprotodontia,Mammalia,59.6
EHM079271,EHA05415_bin.127.fa,93.30,0.02,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-448,s__,Vombatus ursinus,0.00,2630682,60.00%,45011,92,2201,113,2201,902,0,,DMB0179,0.00,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.127.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079271_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079271.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079271_kegg.tsv.gz,false,true,DMB0179,0.88,Diprotodontia,Mammalia,59.0
EHM079272,EHA05415_bin.128.fa,96.02,1.93,Coassembly,EHA05415,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__W0P28-013,s__,Vombatus ursinus,77.79,1663762,43.00%,30164,77,1463,48,1463,699,0,,DMB0179,0.27,0.00,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0616/EHA05415_bin.128.fa.gz,ABB0616,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079272_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079272.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM079272_kegg.tsv.gz,false,true,DMB0179,0.92,Diprotodontia,Mammalia,52.2
