genome	domain	phylum	class	order	family	genus	species	completeness	contamination	mag_size
EHA05415_bin.205	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__	96.68	3.6	1127353
EHA05415_bin.457	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__ML635J-15	g__Bact-19	s__	79.98	3.09	2220823
EHA05415_bin.152	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	78.11	0.41	1549582
EHA05415_bin.344	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fimousia	s__	72.03	0.61	1276595
EHA05415_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__W3P20-009	g__W3P20-009	s__	100	0.52	1610481
EHA05415_bin.373	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__RUG563	s__	60.97	2.24	1349784
EHA05415_bin.201	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	80.36	1.01	1956269
EHA05415_bin.60	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UBA1740	s__	66.14	2.04	1183409
EHA05415_bin.372	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__	s__	68.86	0.78	1072569
EHA05415_bin.240	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__P3	g__UBA1711	s__	64.26	0.38	1985285
EHA05415_bin.482	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__Caccovivens	s__	52.77	7.23	1397106
EHA05415_bin.338	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__	93.47	0.69	1680948
EHA05415_bin.255	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__	s__	91.11	0.84	2526498
EHA05415_bin.450	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__F082	g__Limimorpha	s__	96.91	4.65	3116770
EHA05415_bin.250	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__	80.2	1.91	1876017
EHA05415_bin.168	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	96.86	3.23	1723282
EHA05415_bin.223	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__	95.83	2.22	2108808
EHA05415_bin.413	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	75.03	0.81	1510691
EHA05415_bin.175	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__JAKSVV01	g__JAKSVV01	s__	91.15	0.57	834406
EHA05415_bin.333	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG6969	s__	100	2.09	1799709
EHA05415_bin.83	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1312	s__	80.91	3.11	1695199
EHA05415_bin.198	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__	81.6	0.58	989030
EHA05415_bin.125	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__	76.33	2.1	1941560
EHA05415_bin.330	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-302	s__	88.31	2.96	971011
EHA05415_bin.296	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	69.12	1.4	1328267
EHA05415_bin.170	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__	g__	s__	78.41	8.93	862196
EHA05415_bin.114	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__RGIG9670	s__	96.63	0	1054519
EHA05415_bin.361	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	97.78	2.29	4144407
EHA05415_bin.37	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__	s__	75.97	0.47	1596554
EHA05415_bin.265	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6382	s__	89.82	0.03	1823890
EHA05415_bin.321	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__	90.08	9.17	1405418
EHA05415_bin.301	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RGIG3925	s__	98.26	0.27	1871639
EHA05415_bin.26	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__	73.1	3.25	1615670
EHA05415_bin.446	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA1179	s__	74.72	0.31	1469795
EHA05415_bin.339	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	97.72	1.05	936872
EHA05415_bin.356	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__CALUNA01	s__	98.77	0.11	1182476
EHA05415_bin.298	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__UBA1205	s__	74.37	1.97	1073100
EHA05415_bin.149	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	98.61	0.01	1574815
EHA05415_bin.5	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Flemingibacterium	s__	60.23	9.07	1383617
EHA05415_bin.239	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAJMSU01	s__	90.63	0.41	1780553
EHA05415_bin.36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__QALR01	s__	83.12	0.67	1914660
EHA05415_bin.124	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RUG678	s__	97.04	0.23	2298748
EHA05415_bin.447	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	71.91	3.65	741786
EHA05415_bin.312	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__UBA1240	s__	95.56	2.21	1907590
EHA05415_bin.100	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	80.14	3.37	1568726
EHA05415_bin.225	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium	s__	97.71	1.4	2250812
EHA05415_bin.185	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__	85.18	1.24	2089331
EHA05415_bin.106	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__RGIG9151	g__RGIG9151	s__	83.36	2.07	1409364
EHA05415_bin.420	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__	86.57	0.93	1577287
EHA05415_bin.388	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__	s__	56.44	2.13	1252588
EHA05415_bin.431	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__	99.54	0.09	1743124
EHA05415_bin.221	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__W3P20-009	g__W3P20-009	s__	78.89	0.78	2313112
EHA05415_bin.203	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	58.79	0.97	1091206
EHA05415_bin.192	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1933	s__	95.46	0.59	1217873
EHA05415_bin.181	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	89.56	0.19	1858848
EHA05415_bin.399	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	54.68	0.05	911388
EHA05415_bin.63	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA1412	g__	s__	98.68	0.11	1975650
EHA05415_bin.280	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	77.66	0.92	1206956
EHA05415_bin.471	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__	56.71	5.72	878998
EHA05415_bin.316	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFMI01	s__	93.35	0.55	2532185
EHA05415_bin.336	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__	s__	66.86	2.33	1587425
EHA05415_bin.292	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-448	s__	85.06	0.12	1396504
EHA05415_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__	62.09	9.62	2067435
EHA05415_bin.401	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__	61.1	3.16	991501
EHA05415_bin.99	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Howiella	s__	83.44	0.59	1944713
EHA05415_bin.130	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__RGIG1711	s__	80.02	0.59	1851984
EHA05415_bin.455	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__WCHB1-69	g__UBA1195	s__	94.97	2.27	2880686
EHA05415_bin.132	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Coprenecus	s__	93.77	0.14	1816895
EHA05415_bin.88	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1663	s__	88.09	2.79	1989132
EHA05415_bin.294	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-488	s__	96.69	0.14	2013523
EHA05415_bin.472	d__Bacteria	p__Bacillota	c__Bacilli	o__ML615J-28	f__CAG-698	g__RGIG8164	s__	60.12	7.01	1541169
EHA05415_bin.282	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__Victivallaceae	g__UBA1784	s__	95.63	5.76	2064039
EHA05415_bin.98	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	93.37	0.28	2003943
EHA05415_bin.423	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UBA11490	s__	56.33	0.36	731817
EHA05415_bin.434	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__RUG13409	s__	97.16	3.65	1605813
EHA05415_bin.150	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	96.21	1.09	902225
EHA05415_bin.136	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__	86.84	6.07	1939432
EHA05415_bin.232	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__	s__	89.63	2.73	1912608
EHA05415_bin.227	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__UBA4951	s__	97.67	0.22	2274698
EHA05415_bin.128	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__W0P28-013	s__	96.02	1.93	1663762
EHA05415_bin.332	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__	s__	69.81	0.84	796831
EHA05415_bin.376	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__	67.15	0.43	1398175
EHA05415_bin.56	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	92.83	0.76	2955421
EHA05415_bin.50	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__	70.87	7.54	1987489
EHA05415_bin.161	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RGIG2206	s__	94.06	5.23	2439492
EHA05415_bin.101	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1750	g__	s__	94.89	0	2103009
EHA05415_bin.390	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__Onthoplasma	s__	79.62	0.28	531329
EHA05415_bin.322	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag111	s__	68.23	0.56	1103726
EHA05415_bin.236	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__CAJPQU01	s__	83.72	1.57	1809870
EHA05415_bin.254	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__	96.92	2.07	2143517
EHA05415_bin.121	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__UBA1259	s__	76.84	0.56	1388763
EHA05415_bin.419	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFTH01	s__	97.1	2.03	3500129
EHA05415_bin.242	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	87.09	0.49	1554397
EHA05415_bin.477	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RUG11142	s__	50.83	0.33	1327768
EHA05415_bin.112	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__	s__	99.63	0.89	1612514
EHA05415_bin.323	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__QALR01	s__	88.17	0.5	2036607
EHA05415_bin.119	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UBA1740	s__	91.67	0.77	1679623
EHA05415_bin.402	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__	s__	74.87	3.75	1566523
EHA05415_bin.178	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__	g__	s__	83.96	0.56	1556239
EHA05415_bin.293	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-448	s__	94.48	0.01	1628895
EHA05415_bin.238	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__UBA4345	s__	95.22	1.91	2226219
EHA05415_bin.146	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__UBA71	s__	81.81	1.17	1828022
EHA05415_bin.310	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__UBA1829	g__UBA1732	s__	96.05	1.2	2162817
EHA05415_bin.237	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA1179	s__	91.4	0.04	1641651
EHA05415_bin.153	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__SFEL01	s__	95.75	0.68	1638656
EHA05415_bin.118	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__	s__	67.48	0.14	588170
EHA05415_bin.263	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__CAKVNM01	s__	76.53	5.98	1805916
EHA05415_bin.6	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	s__	96.28	0.32	2843126
EHA05415_bin.59	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA1242	g__UMGS1908	s__	66.34	0.65	1290023
EHA05415_bin.222	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA2658	s__	92.75	3.34	4203786
EHA05415_bin.427	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	57.21	5.38	1658476
EHA05415_bin.375	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	53.41	0.55	1392851
EHA05415_bin.384	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__	96.07	2.07	1701425
EHA05415_bin.274	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__	90.02	2.62	1559300
EHA05415_bin.40	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__	72.55	0.81	2553802
EHA05415_bin.407	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__	97.69	1.69	1817350
EHA05415_bin.224	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__UBA12059	g__	s__	79.53	1.54	2633836
EHA05415_bin.281	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__	89.66	1.37	1904298
EHA05415_bin.127	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-448	s__	93.3	0.02	2630682
EHA05415_bin.449	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAJFTT01	g__Tabaqchalia	s__	68.21	0.2	1304378
EHA05415_bin.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__UBA644	g__HGM12619	s__	99.67	0.11	2192871
EHA05415_bin.142	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__UMGS1696	s__	93.62	1.51	2721422
EHA05415_bin.403	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UBA866	s__	75.67	1.26	1196110
EHA05415_bin.126	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-448	s__	89.01	3.32	2186048
EHA05415_bin.391	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__	66.04	0.83	1365408
