user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA05391_bin.387.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	ANI	classification based on placement in class-level tree	GCA_015055735.1, s__UBA1259 sp015055735, 95.0, 77.58, 0.127; GCA_015069465.1, s__UBA1259 sp015069465, 95.0, 77.43, 0.167; GCA_015055725.1, s__UBA1259 sp015055725, 95.0, 77.41, 0.148; GCA_017501885.1, s__UBA1259 sp017501885, 95.0, 77.4, 0.13; GCA_017467345.1, s__UBA1259 sp017467345, 95.0, 77.29, 0.127; GCA_017558105.1, s__UBA1259 sp017558105, 95.0, 77.2, 0.155; GCA_904502225.1, s__UBA1259 sp904502225, 95.0, 77.06, 0.163; GCA_944376035.1, s__UBA1259 sp944376035, 95.0, 77.03, 0.042; GCA_017502525.1, s__UBA1259 sp017502525, 95.0, 77.0, 0.14; GCA_017648525.1, s__UBA1259 sp017648525, 95.0, 76.98, 0.12; GCA_015055945.1, s__UBA1259 sp015055945, 95.0, 76.98, 0.14; GCA_017397305.1, s__UBA1259 sp017397305, 95.0, 76.94, 0.122; GCA_015069505.1, s__UBA1259 sp015069505, 95.0, 76.94, 0.103; GCA_017505625.1, s__UBA1259 sp017505625, 95.0, 76.94, 0.077; GCA_015069425.1, s__UBA1259 sp015069425, 95.0, 76.91, 0.127; GCA_017456945.1, s__UBA1259 sp017456945, 95.0, 76.9, 0.067; GCA_017465145.1, s__UBA1259 sp017465145, 95.0, 76.89, 0.15; GCA_900771345.1, s__UBA1259 sp900771345, 95.0, 76.88, 0.155; GCA_017399035.1, s__UBA1259 sp017399035, 95.0, 76.87, 0.132; GCA_017503265.1, s__UBA1259 sp017503265, 95.0, 76.83, 0.127; GCA_017456055.1, s__UBA1259 sp017456055, 95.0, 76.74, 0.135; GCA_900769565.1, s__UBA1259 sp900769565, 95.0, 76.73, 0.105; GCA_017505675.1, s__UBA1259 sp017505675, 95.0, 76.71, 0.149; GCA_015069625.1, s__UBA1259 sp015069625, 95.0, 76.7, 0.12; GCA_016295005.1, s__UBA1259 sp016295005, 95.0, 76.7, 0.045; GCA_017621955.1, s__UBA1259 sp017621955, 95.0, 76.67, 0.113; GCA_902767225.1, s__UBA1259 sp902767225, 95.0, 76.66, 0.077; GCA_905211955.1, s__UBA1259 sp905211955, 95.0, 76.59, 0.122; GCA_024405475.1, s__UBA1259 sp024405475, 95.0, 76.55, 0.144; GCA_900770685.1, s__UBA1259 sp900770685, 95.0, 76.54, 0.124; GCA_015069265.1, s__UBA1259 sp015069265, 95.0, 76.5, 0.088; GCA_944367535.1, s__UBA1259 sp944367535, 95.0, 76.49, 0.049; GCA_934271245.1, s__UBA1259 sp934271245, 95.0, 76.44, 0.064; GCA_017554545.1, s__UBA1259 sp017554545, 95.0, 76.43, 0.093; GCA_017631725.1, s__UBA1259 sp017631725, 95.0, 76.4, 0.129; GCA_017399945.1, s__UBA1259 sp017399945, 95.0, 76.4, 0.12; GCA_017615975.1, s__UBA1259 sp017615975, 95.0, 76.32, 0.044; GCA_900320065.1, s__UBA1259 sp900320065, 95.0, 76.29, 0.042; GCA_905235765.1, s__UBA1259 sp905235765, 95.0, 76.29, 0.056; GCA_905235785.1, s__UBA1259 sp905235785, 95.0, 76.25, 0.044; GCA_003523255.1, s__UBA1259 sp003523255, 95.0, 76.24, 0.044; GCA_017414525.1, s__UBA1259 sp017414525, 95.0, 76.23, 0.086; GCA_017457015.1, s__UBA1259 sp017457015, 95.0, 76.23, 0.063; GCA_015055805.1, s__UBA1259 sp015055805, 95.0, 76.22, 0.091; GCA_017445995.1, s__UBA1259 sp017445995, 95.0, 76.21, 0.11; GCA_023403375.1, s__UBA1259 sp023403375, 95.0, 76.16, 0.088; GCA_905210545.1, s__UBA1259 sp905210545, 95.0, 76.15, 0.043; GCA_904501795.1, s__UBA1259 sp904501795, 95.0, 76.13, 0.129; GCA_934271275.1, s__UBA1259 sp934271275, 95.0, 76.09, 0.051; GCA_900760875.1, s__UBA1259 sp900760875, 95.0, 76.06, 0.022; GCA_002308755.1, s__UBA1259 sp002308755, 95.0, 76.04, 0.029; GCA_017448355.1, s__UBA1259 sp017448355, 95.0, 75.9, 0.066; GCA_017612915.1, s__UBA1259 sp017612915, 95.0, 75.75, 0.064; GCA_934230055.1, s__UBA1259 sp934230055, 95.0, 75.55, 0.034; GCA_017616925.1, s__UBA1259 sp017616925, 95.0, 75.15, 0.018	79.5	11	0.88728	N/A
EHA05391_bin.388.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	ANI	classification based on placement in class-level tree	GCA_934230055.1, s__UBA1259 sp934230055, 95.0, 77.19, 0.028; GCA_017399035.1, s__UBA1259 sp017399035, 95.0, 77.15, 0.101; GCA_015055945.1, s__UBA1259 sp015055945, 95.0, 77.14, 0.139; GCA_024405475.1, s__UBA1259 sp024405475, 95.0, 76.93, 0.12; GCA_015069465.1, s__UBA1259 sp015069465, 95.0, 76.93, 0.193; GCA_015069425.1, s__UBA1259 sp015069425, 95.0, 76.89, 0.144; GCA_900771345.1, s__UBA1259 sp900771345, 95.0, 76.84, 0.12; GCA_900760875.1, s__UBA1259 sp900760875, 95.0, 76.84, 0.016; GCA_017558105.1, s__UBA1259 sp017558105, 95.0, 76.79, 0.164; GCA_015055735.1, s__UBA1259 sp015055735, 95.0, 76.73, 0.103; GCA_017445995.1, s__UBA1259 sp017445995, 95.0, 76.68, 0.065; GCA_900320065.1, s__UBA1259 sp900320065, 95.0, 76.67, 0.024; GCA_017467345.1, s__UBA1259 sp017467345, 95.0, 76.67, 0.142; GCA_017648525.1, s__UBA1259 sp017648525, 95.0, 76.65, 0.117; GCA_017465145.1, s__UBA1259 sp017465145, 95.0, 76.65, 0.139; GCA_905211955.1, s__UBA1259 sp905211955, 95.0, 76.65, 0.109; GCA_934271245.1, s__UBA1259 sp934271245, 95.0, 76.64, 0.052; GCA_017503265.1, s__UBA1259 sp017503265, 95.0, 76.63, 0.103; GCA_015069625.1, s__UBA1259 sp015069625, 95.0, 76.61, 0.128; GCA_900770685.1, s__UBA1259 sp900770685, 95.0, 76.61, 0.067; GCA_904502225.1, s__UBA1259 sp904502225, 95.0, 76.59, 0.194; GCA_015055725.1, s__UBA1259 sp015055725, 95.0, 76.56, 0.158; GCA_934271275.1, s__UBA1259 sp934271275, 95.0, 76.56, 0.043; GCA_017399945.1, s__UBA1259 sp017399945, 95.0, 76.52, 0.117; GCA_023403375.1, s__UBA1259 sp023403375, 95.0, 76.47, 0.052; GCA_017505675.1, s__UBA1259 sp017505675, 95.0, 76.42, 0.128; GCA_017456945.1, s__UBA1259 sp017456945, 95.0, 76.4, 0.08; GCA_017631725.1, s__UBA1259 sp017631725, 95.0, 76.38, 0.161; GCA_017621955.1, s__UBA1259 sp017621955, 95.0, 76.36, 0.122; GCA_900769565.1, s__UBA1259 sp900769565, 95.0, 76.35, 0.111; GCA_015069505.1, s__UBA1259 sp015069505, 95.0, 76.35, 0.098; GCA_017615975.1, s__UBA1259 sp017615975, 95.0, 76.32, 0.041; GCA_017502525.1, s__UBA1259 sp017502525, 95.0, 76.3, 0.128; GCA_017456055.1, s__UBA1259 sp017456055, 95.0, 76.26, 0.133; GCA_017554545.1, s__UBA1259 sp017554545, 95.0, 76.24, 0.081; GCA_905235785.1, s__UBA1259 sp905235785, 95.0, 76.24, 0.032; GCA_017501885.1, s__UBA1259 sp017501885, 95.0, 76.24, 0.141; GCA_944367535.1, s__UBA1259 sp944367535, 95.0, 76.23, 0.035; GCA_017612915.1, s__UBA1259 sp017612915, 95.0, 76.2, 0.039; GCA_944376035.1, s__UBA1259 sp944376035, 95.0, 76.17, 0.03; GCA_902767225.1, s__UBA1259 sp902767225, 95.0, 76.11, 0.06; GCA_017457015.1, s__UBA1259 sp017457015, 95.0, 76.09, 0.057; GCA_015055805.1, s__UBA1259 sp015055805, 95.0, 76.09, 0.103; GCA_017616925.1, s__UBA1259 sp017616925, 95.0, 76.04, 0.036; GCA_002308755.1, s__UBA1259 sp002308755, 95.0, 76.03, 0.021; GCA_015069265.1, s__UBA1259 sp015069265, 95.0, 75.96, 0.082; GCA_904501795.1, s__UBA1259 sp904501795, 95.0, 75.95, 0.111; GCA_017397305.1, s__UBA1259 sp017397305, 95.0, 75.91, 0.117; GCA_017505625.1, s__UBA1259 sp017505625, 95.0, 75.8, 0.099; GCA_905210545.1, s__UBA1259 sp905210545, 95.0, 75.78, 0.03; GCA_016295005.1, s__UBA1259 sp016295005, 95.0, 75.67, 0.057; GCA_905235765.1, s__UBA1259 sp905235765, 95.0, 75.61, 0.037; GCA_017414525.1, s__UBA1259 sp017414525, 95.0, 75.61, 0.078; GCA_003523255.1, s__UBA1259 sp003523255, 95.0, 75.53, 0.046; GCA_017448355.1, s__UBA1259 sp017448355, 95.0, 75.33, 0.071	64.05	11	0.88274	N/A
EHA05391_bin.389.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1715;g__UBA1715;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA1715;g__UBA1715;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.15	11	0.91654	N/A
EHA05391_bin.39.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__UMGS1810;f__UMGS1810;g__RGIG1828;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__UMGS1810;f__UMGS1810;g__RGIG1828;s__	ANI	classification based on placement in class-level tree	GCA_017629325.1, s__RGIG1828 sp017629325, 95.0, 79.32, 0.218; GCA_017437345.1, s__RGIG1828 sp017437345, 95.0, 79.24, 0.205; GCA_015069015.1, s__RGIG1828 sp015069015, 95.0, 78.53, 0.128; GCA_017397885.1, s__RGIG1828 sp017397885, 95.0, 77.76, 0.128; GCA_017416845.1, s__RGIG1828 sp017416845, 95.0, 77.66, 0.154; GCA_015068985.1, s__RGIG1828 sp015068985, 95.0, 77.21, 0.103; GCA_934463165.1, s__RGIG1828 sp934463165, 95.0, 77.2, 0.096; GCA_017549745.1, s__RGIG1828 sp017549745, 95.0, 76.96, 0.083; GCA_016293435.1, s__RGIG1828 sp016293435, 95.0, 76.75, 0.167; GCA_017503945.1, s__RGIG1828 sp017503945, 95.0, 76.74, 0.115	48.66	11	0.91908	N/A
EHA05391_bin.390.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__CALUNA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_944321895.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__CALUNA01;s__CALUNA01 sp944321895	76.78	0.07	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__CALUNA01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	88.06	11	0.91069	N/A
EHA05391_bin.391.fa	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__Tb-RUG-53;s__	N/A	N/A	N/A	N/A	N/A	GCA_016287975.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__Tb-RUG-53;s__Tb-RUG-53 sp016287975	77.09	0.195	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__UBA1407;g__Tb-RUG-53;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	82.7	11	0.90888	N/A
EHA05391_bin.392.fa	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.35	11	0.89488	N/A
EHA05391_bin.393.fa	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__	ANI	classification based on placement in class-level tree	GCA_022640795.1, s__Treponema_D sp022640795, 95.0, 77.31, 0.032; GCA_016287815.1, s__Treponema_D sp016287815, 95.0, 77.26, 0.138; GCA_024695475.1, s__Treponema_D sp024695475, 95.0, 77.14, 0.072; GCA_902783245.1, s__Treponema_D sp902783245, 95.0, 76.98, 0.027; GCA_024691105.1, s__Treponema_D sp024691105, 95.0, 76.82, 0.058; GCA_017469785.1, s__Treponema_D sp017469785, 95.0, 76.79, 0.024; GCF_017893965.1, s__Treponema_D parvum, 95.0, 76.76, 0.053; GCA_002296965.1, s__Treponema_D sp002296965, 95.0, 76.75, 0.028; GCA_017553635.1, s__Treponema_D sp017553635, 95.0, 76.73, 0.055; GCA_016296655.1, s__Treponema_D sp016296655, 95.0, 76.72, 0.131; GCA_017381365.1, s__Treponema_D sp017381365, 95.0, 76.68, 0.059; GCA_900767955.1, s__Treponema_D sp900767955, 95.0, 76.66, 0.124; GCF_017893945.1, s__Treponema_D parvum_A, 95.0, 76.66, 0.061; GCA_016296575.1, s__Treponema_D sp016296575, 95.0, 76.63, 0.056; GCA_017470085.1, s__Treponema_D sp017470085, 95.0, 76.62, 0.014; GCA_018385395.1, s__Treponema_D sp018385395, 95.0, 76.62, 0.048; GCA_002319875.1, s__Treponema_D sp002319875, 95.0, 76.62, 0.04; GCA_024402635.1, s__Treponema_D sp024402635, 95.0, 76.61, 0.064; GCA_018385415.1, s__Treponema_D sp018385415, 95.0, 76.59, 0.054; GCA_016297405.1, s__Treponema_D sp016297405, 95.0, 76.57, 0.046; GCA_016286365.1, s__Treponema_D sp016286365, 95.0, 76.53, 0.053; GCA_018066075.1, s__Treponema_D sp018066075, 95.0, 76.52, 0.051; GCA_016297415.1, s__Treponema_D sp016297415, 95.0, 76.51, 0.048; GCF_900167145.1, s__Treponema_D porcinum, 95.0, 76.51, 0.048; GCA_024691265.1, s__Treponema_D sp024691265, 95.0, 76.49, 0.078; GCA_024402505.1, s__Treponema_D sp024402505, 95.0, 76.48, 0.037; GCA_016293495.1, s__Treponema_D sp016293495, 95.0, 76.47, 0.06; GCF_024181585.1, s__Treponema_D buccale, 95.0, 76.47, 0.011; GCA_023231445.1, s__Treponema_D sp023231445, 95.0, 76.37, 0.021; GCA_017484285.1, s__Treponema_D sp017484285, 95.0, 76.37, 0.022; GCA_018064525.1, s__Treponema_D sp018064525, 95.0, 76.36, 0.068; GCA_900317625.1, s__Treponema_D sp900317625, 95.0, 76.32, 0.037; GCA_017468745.1, s__Treponema_D sp017468745, 95.0, 76.31, 0.019; GCA_024693045.1, s__Treponema_D sp024693045, 95.0, 76.29, 0.072; GCA_900769985.1, s__Treponema_D sp900769985, 95.0, 76.28, 0.076; GCA_000413015.1, s__Treponema_D paredis, 95.0, 76.28, 0.011; GCA_002309195.1, s__Treponema_D sp002309195, 95.0, 76.27, 0.04; GCA_014804085.1, s__Treponema_D sp014804085, 95.0, 76.27, 0.015; GCA_003447785.1, s__Treponema_D sp003447785, 95.0, 76.24, 0.027; GCA_017392945.1, s__Treponema_D sp017392945, 95.0, 76.24, 0.037; GCA_002478955.1, s__Treponema_D sp002478955, 95.0, 76.23, 0.043; GCA_018385315.1, s__Treponema_D sp018385315, 95.0, 76.23, 0.074; GCA_017386165.1, s__Treponema_D sp017386165, 95.0, 76.21, 0.054; GCA_002399405.1, s__Treponema_D sp002399405, 95.0, 76.2, 0.026; GCA_016283615.1, s__Treponema_D sp016283615, 95.0, 76.2, 0.038; GCA_024402565.1, s__Treponema_D sp024402565, 95.0, 76.18, 0.044; GCA_024402655.1, s__Treponema_D sp024402655, 95.0, 76.16, 0.067; GCA_024402535.1, s__Treponema_D sp024402535, 95.0, 76.16, 0.036; GCA_015061465.1, s__Treponema_D bryantii_D, 95.0, 76.14, 0.115; GCA_024402665.1, s__Treponema_D sp024402665, 95.0, 76.13, 0.052; GCA_024402475.1, s__Treponema_D sp024402475, 95.0, 76.13, 0.054; GCA_902803735.1, s__Treponema_D sp902803735, 95.0, 76.12, 0.037; GCA_024698325.1, s__Treponema_D sp024698325, 95.0, 76.1, 0.022; GCA_002437725.1, s__Treponema_D sp002437725, 95.0, 76.09, 0.085; GCA_934667505.1, s__Treponema_D sp934667505, 95.0, 76.09, 0.075; GCA_018064905.1, s__Treponema_D sp018064905, 95.0, 76.06, 0.033; GCA_022010055.1, s__Treponema_D sp900541945, 95.0, 76.06, 0.045; GCA_002314445.1, s__Treponema_D sp002314445, 95.0, 76.03, 0.025; GCA_002369025.1, s__Treponema_D sp002369025, 95.0, 76.0, 0.018; GCA_900769325.1, s__Treponema_D sp900769325, 95.0, 75.98, 0.069; GCA_017390125.1, s__Treponema_D sp017390125, 95.0, 75.97, 0.015; GCA_934718065.1, s__Treponema_D sp934718065, 95.0, 75.93, 0.024; GCA_900316905.1, s__Treponema_D sp900316905, 95.0, 75.92, 0.015; GCA_024680155.1, s__Treponema_D sp024680155, 95.0, 75.92, 0.051; GCA_017962965.1, s__Treponema_D sp017962965, 95.0, 75.91, 0.037; GCA_902797305.1, s__Treponema_D sp902797305, 95.0, 75.89, 0.053; GCA_902778325.1, s__Treponema_D sp902778325, 95.0, 75.86, 0.032; GCA_021442965.1, s__Treponema_D sp021442965, 95.0, 75.84, 0.045; GCA_024689365.1, s__Treponema_D sp024689365, 95.0, 75.84, 0.019; GCA_017464425.1, s__Treponema_D sp017464425, 95.0, 75.84, 0.019; GCA_016293005.1, s__Treponema_D sp016293005, 95.0, 75.82, 0.069; GCA_017449285.1, s__Treponema_D sp017449285, 95.0, 75.82, 0.021; GCA_017450535.1, s__Treponema_D sp017450535, 95.0, 75.79, 0.018; GCA_024402695.1, s__Treponema_D sp024402695, 95.0, 75.74, 0.044; GCA_017446265.1, s__Treponema_D sp017446265, 95.0, 75.71, 0.019; GCF_014334325.1, s__Treponema_D sp014334325, 95.0, 75.7, 0.015; GCA_902785455.1, s__Treponema_D sp902785455, 95.0, 75.68, 0.025; GCA_002315375.1, s__Treponema_D sp002315375, 95.0, 75.65, 0.039; GCA_017940005.1, s__Treponema_D sp017940005, 95.0, 75.65, 0.026; GCF_016117655.1, s__Treponema_D peruense, 95.0, 75.64, 0.042; GCA_017551545.1, s__Treponema_D sp017551545, 95.0, 75.63, 0.042; GCA_002394465.1, s__Treponema_D sp002394465, 95.0, 75.61, 0.019; GCA_002368605.1, s__Treponema_D sp002368605, 95.0, 75.61, 0.024; GCA_024693915.1, s__Treponema_D sp024693915, 95.0, 75.6, 0.042; GCF_000468115.1, s__Treponema_D socranskii, 95.0, 75.56, 0.015; GCA_002391235.1, s__Treponema_D sp002391235, 95.0, 75.51, 0.021; GCA_017617115.1, s__Treponema_D sp017617115, 95.0, 75.48, 0.026; GCA_905372235.1, s__Treponema_D sp905372235, 95.0, 75.45, 0.024; GCA_022510885.1, s__Treponema_D sp022510885, 95.0, 75.41, 0.008; GCA_017645785.1, s__Treponema_D sp017645785, 95.0, 75.35, 0.019; GCA_902772975.1, s__Treponema_D sp902772975, 95.0, 75.32, 0.025; GCA_016290995.1, s__Treponema_D sp016290995, 95.0, 75.3, 0.022; GCA_017551705.1, s__Treponema_D sp017551705, 95.0, 75.26, 0.015; GCA_022510845.1, s__Treponema_D sp022510845, 95.0, 75.22, 0.014; GCA_902799965.1, s__Treponema_D sp902799965, 95.0, 75.1, 0.014; GCA_017617145.1, s__Treponema_D sp017617145, 95.0, 75.09, 0.057; GCA_910584475.1, s__Treponema_D sp910584475, 95.0, 75.09, 0.021; GCA_902792795.1, s__Treponema_D sp902792795, 95.0, 75.06, 0.01; GCA_902799665.1, s__Treponema_D sp902799665, 95.0, 74.94, 0.015; GCA_014804005.1, s__Treponema_D sp014804005, 95.0, 74.57, 0.018	84.37	11	0.94471	N/A
EHA05391_bin.395.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2070;s__	N/A	N/A	N/A	N/A	N/A	GCA_905203455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2070;s__UMGS2070 sp905203455	78.81	0.277	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UMGS2070;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017443885.1, s__UMGS2070 sp017443885, 95.0, 78.19, 0.158; GCA_900557655.1, s__UMGS2070 sp900557655, 95.0, 78.17, 0.158; GCA_017444895.1, s__UMGS2070 sp017444895, 95.0, 77.93, 0.129; GCA_024692805.1, s__UMGS2070 sp024692805, 95.0, 77.9, 0.158; GCA_017616705.1, s__UMGS2070 sp017616705, 95.0, 77.25, 0.149	52.02	11	0.89876	N/A
EHA05391_bin.396.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA1756;s__	N/A	N/A	N/A	N/A	N/A	GCA_002314795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA1756;s__UBA1756 sp002314795	78.04	0.139	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA1756;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016285085.1, s__UBA1756 sp016285085, 95.0, 77.79, 0.111; GCA_900321845.1, s__UBA1756 sp900321845, 95.0, 77.74, 0.087; GCA_017961265.1, s__UBA1756 sp017961265, 95.0, 77.62, 0.122; GCA_017506175.1, s__UBA1756 sp017506175, 95.0, 77.16, 0.069; GCA_024400785.1, s__UBA1756 sp024400785, 95.0, 77.12, 0.103; GCA_016288655.1, s__UBA1756 sp016288655, 95.0, 77.03, 0.063; GCA_017617445.1, s__UBA1756 sp017617445, 95.0, 76.79, 0.069; GCA_024400775.1, s__UBA1756 sp024400775, 95.0, 76.77, 0.083; GCA_017535665.1, s__UBA1756 sp017535665, 95.0, 76.53, 0.083; GCA_017962845.1, s__UBA1756 sp017962845, 95.0, 76.42, 0.083; GCA_016290715.1, s__UBA1756 sp016290715, 95.0, 76.16, 0.089	93.51	11	0.97872	N/A
