genome,completeness,contamination,location,length,N50
EHA05391_bin.418.fa.gz,88.52,5.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.418.fa.gz,1474345,5280
EHA05391_bin.419.fa.gz,90.67,0.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.419.fa.gz,1177814,34393
EHA05391_bin.58.fa.gz,97.55,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.58.fa.gz,2408126,35309
EHA05391_bin.690.fa.gz,78.26,0.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.690.fa.gz,647123,3225
EHA05391_bin.262.fa.gz,88.75,1.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.262.fa.gz,2179343,4493
EHA05391_bin.68.fa.gz,75.46,4.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.68.fa.gz,1942205,17455
EHA05391_bin.92.fa.gz,80.07,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.92.fa.gz,1123807,19180
EHA05391_bin.382.fa.gz,92.68,4.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.382.fa.gz,1942235,35872
EHA05391_bin.372.fa.gz,97.05,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.372.fa.gz,2179794,49211
EHA05391_bin.178.fa.gz,68.62,1.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.178.fa.gz,1314043,97276
EHA05391_bin.435.fa.gz,97.93,1.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.435.fa.gz,1915178,6292
EHA05391_bin.87.fa.gz,80.85,1.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.87.fa.gz,2201363,78723
EHA05391_bin.267.fa.gz,93.35,4.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.267.fa.gz,2427693,10414
EHA05391_bin.39.fa.gz,98.95,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.39.fa.gz,1202653,2997
EHA05391_bin.568.fa.gz,77.06,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.568.fa.gz,1409708,35873
EHA05391_bin.172.fa.gz,98.3,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.172.fa.gz,1325623,4449
EHA05391_bin.209.fa.gz,97.63,4.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.209.fa.gz,1897991,17730
EHA05391_bin.129.fa.gz,76.11,7.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.129.fa.gz,2462959,10543
EHA05391_bin.103.fa.gz,85.69,5.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.103.fa.gz,2035372,8419
EHA05391_bin.189.fa.gz,79.2,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.189.fa.gz,1416101,12752
EHA05391_bin.571.fa.gz,85.74,0.96,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.571.fa.gz,1634138,12600
EHA05391_bin.126.fa.gz,96.64,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.126.fa.gz,1809098,23253
EHA05391_bin.93.fa.gz,90.32,2.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.93.fa.gz,1593266,19870
EHA05391_bin.351.fa.gz,95.41,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.351.fa.gz,2245669,73435
EHA05391_bin.636.fa.gz,86.55,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.636.fa.gz,815462,3743
EHA05391_bin.203.fa.gz,61.85,1.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.203.fa.gz,2326253,61333
EHA05391_bin.274.fa.gz,97.93,2.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.274.fa.gz,1140425,8014
EHA05391_bin.377.fa.gz,94.71,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.377.fa.gz,2285239,9306
EHA05391_bin.526.fa.gz,72.98,0.84,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.526.fa.gz,2056705,53035
EHA05391_bin.593.fa.gz,77.03,4.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.593.fa.gz,1545583,10431
EHA05391_bin.401.fa.gz,91.04,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.401.fa.gz,2175741,50794
EHA05391_bin.222.fa.gz,99.77,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.222.fa.gz,996967,4432
EHA05391_bin.61.fa.gz,50.6,3.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.61.fa.gz,4083351,68132
EHA05391_bin.256.fa.gz,94.53,1.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.256.fa.gz,1692371,13543
EHA05391_bin.494.fa.gz,66.0,1.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.494.fa.gz,2024237,19651
EHA05391_bin.24.fa.gz,54.37,9.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.24.fa.gz,3340497,69453
EHA05391_bin.673.fa.gz,58.31,0.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.673.fa.gz,1468221,4244
EHA05391_bin.180.fa.gz,97.81,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.180.fa.gz,750532,16635
EHA05391_bin.582.fa.gz,87.6,4.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.582.fa.gz,972091,27625
EHA05391_bin.556.fa.gz,91.85,1.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.556.fa.gz,2027262,4928
EHA05391_bin.374.fa.gz,99.92,1.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.374.fa.gz,1406529,8181
EHA05391_bin.538.fa.gz,82.65,5.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.538.fa.gz,879857,14121
EHA05391_bin.73.fa.gz,52.85,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.73.fa.gz,1647145,3109
EHA05391_bin.220.fa.gz,87.61,0.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.220.fa.gz,1387626,45536
EHA05391_bin.117.fa.gz,91.49,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.117.fa.gz,1849224,15581
EHA05391_bin.491.fa.gz,93.36,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.491.fa.gz,1848120,67988
EHA05391_bin.331.fa.gz,97.29,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.331.fa.gz,1719624,60323
EHA05391_bin.263.fa.gz,93.26,3.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.263.fa.gz,2421099,21318
EHA05391_bin.111.fa.gz,72.19,4.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.111.fa.gz,1376026,8210
EHA05391_bin.479.fa.gz,71.67,6.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.479.fa.gz,1418837,55138
EHA05391_bin.454.fa.gz,78.45,2.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.454.fa.gz,1746939,38841
EHA05391_bin.368.fa.gz,96.47,0.92,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.368.fa.gz,2151315,128609
EHA05391_bin.495.fa.gz,93.15,2.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.495.fa.gz,1850376,46241
EHA05391_bin.208.fa.gz,82.43,6.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.208.fa.gz,1307103,3793
EHA05391_bin.503.fa.gz,67.6,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.503.fa.gz,1859012,20466
EHA05391_bin.580.fa.gz,82.17,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.580.fa.gz,1935035,65570
EHA05391_bin.248.fa.gz,71.29,1.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.248.fa.gz,1573508,39359
EHA05391_bin.348.fa.gz,89.82,3.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.348.fa.gz,3434662,7835
EHA05391_bin.310.fa.gz,89.58,7.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.310.fa.gz,2075399,10506
EHA05391_bin.97.fa.gz,53.04,2.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.97.fa.gz,2013828,104833
EHA05391_bin.139.fa.gz,77.56,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.139.fa.gz,1558511,95796
EHA05391_bin.576.fa.gz,91.09,1.28,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.576.fa.gz,1818008,5013
EHA05391_bin.240.fa.gz,95.13,3.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.240.fa.gz,1387471,70377
EHA05391_bin.420.fa.gz,82.2,3.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.420.fa.gz,1945367,33666
EHA05391_bin.5.fa.gz,96.29,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.5.fa.gz,1993106,5157
EHA05391_bin.291.fa.gz,82.36,3.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.291.fa.gz,1454957,51780
EHA05391_bin.80.fa.gz,50.83,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.80.fa.gz,1603814,58743
EHA05391_bin.431.fa.gz,72.48,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.431.fa.gz,1628461,10121
EHA05391_bin.40.fa.gz,95.02,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.40.fa.gz,2447933,6762
EHA05391_bin.396.fa.gz,93.19,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.396.fa.gz,2151342,80933
EHA05391_bin.283.fa.gz,90.46,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.283.fa.gz,1955658,5378
EHA05391_bin.266.fa.gz,97.03,5.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.266.fa.gz,2496410,31923
EHA05391_bin.37.fa.gz,74.08,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.37.fa.gz,1587370,119381
EHA05391_bin.693.fa.gz,51.05,2.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.693.fa.gz,1261589,3322
EHA05391_bin.546.fa.gz,93.43,5.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.546.fa.gz,2080196,18409
EHA05391_bin.334.fa.gz,63.32,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.334.fa.gz,1493975,80114
EHA05391_bin.379.fa.gz,78.9,1.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.379.fa.gz,1501775,7915
EHA05391_bin.409.fa.gz,95.93,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.409.fa.gz,1898908,18539
EHA05391_bin.363.fa.gz,98.85,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.363.fa.gz,2360135,53204
EHA05391_bin.242.fa.gz,97.52,0.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.242.fa.gz,2062745,9916
EHA05391_bin.486.fa.gz,91.03,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.486.fa.gz,1836098,88009
EHA05391_bin.664.fa.gz,71.33,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.664.fa.gz,877878,3137
EHA05391_bin.43.fa.gz,72.46,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.43.fa.gz,4244806,104866
EHA05391_bin.136.fa.gz,87.44,2.28,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.136.fa.gz,2047888,6517
EHA05391_bin.218.fa.gz,87.51,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.218.fa.gz,982315,15355
EHA05391_bin.53.fa.gz,96.71,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.53.fa.gz,2592151,9925
EHA05391_bin.614.fa.gz,50.09,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.614.fa.gz,1515422,74322
EHA05391_bin.500.fa.gz,86.2,2.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.500.fa.gz,1067991,35162
EHA05391_bin.553.fa.gz,83.34,2.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.553.fa.gz,1838675,47363
EHA05391_bin.231.fa.gz,68.44,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.231.fa.gz,1825553,6542
EHA05391_bin.560.fa.gz,92.59,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.560.fa.gz,3740719,70802
EHA05391_bin.272.fa.gz,98.7,0.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.272.fa.gz,2523133,8706
EHA05391_bin.461.fa.gz,98.67,1.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.461.fa.gz,2154172,8974
EHA05391_bin.148.fa.gz,69.57,4.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.148.fa.gz,2034351,11560
EHA05391_bin.386.fa.gz,98.81,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.386.fa.gz,1160809,11756
EHA05391_bin.123.fa.gz,72.02,0.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.123.fa.gz,1252592,87904
EHA05391_bin.533.fa.gz,69.57,0.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.533.fa.gz,1540240,47150
EHA05391_bin.303.fa.gz,72.85,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.303.fa.gz,1965637,11730
EHA05391_bin.508.fa.gz,95.45,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.508.fa.gz,1712732,6034
EHA05391_bin.586.fa.gz,85.3,1.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.586.fa.gz,1178012,25620
EHA05391_bin.543.fa.gz,94.91,3.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.543.fa.gz,1933565,35371
EHA05391_bin.695.fa.gz,54.98,3.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.695.fa.gz,1710380,3034
EHA05391_bin.518.fa.gz,89.8,2.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.518.fa.gz,1111142,12868
EHA05391_bin.652.fa.gz,74.8,0.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.652.fa.gz,1408572,4062
EHA05391_bin.554.fa.gz,95.25,3.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.554.fa.gz,1685125,14992
EHA05391_bin.197.fa.gz,75.55,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.197.fa.gz,1556355,4355
EHA05391_bin.477.fa.gz,94.16,0.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.477.fa.gz,1627090,6829
EHA05391_bin.264.fa.gz,84.27,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.264.fa.gz,2689686,14062
EHA05391_bin.1.fa.gz,88.83,2.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.1.fa.gz,2251897,42257
EHA05391_bin.360.fa.gz,94.13,5.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.360.fa.gz,2629304,26226
EHA05391_bin.416.fa.gz,77.48,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.416.fa.gz,1152568,30071
EHA05391_bin.427.fa.gz,88.98,1.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.427.fa.gz,1227822,5235
EHA05391_bin.318.fa.gz,95.86,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.318.fa.gz,2872424,143821
EHA05391_bin.118.fa.gz,91.58,5.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.118.fa.gz,2810528,8675
EHA05391_bin.442.fa.gz,68.24,2.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.442.fa.gz,1812977,56202
EHA05391_bin.444.fa.gz,58.06,4.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.444.fa.gz,2593835,30505
EHA05391_bin.124.fa.gz,97.6,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.124.fa.gz,5246960,101052
EHA05391_bin.273.fa.gz,92.12,3.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.273.fa.gz,1517416,76352
EHA05391_bin.506.fa.gz,93.37,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.506.fa.gz,1359318,3676
EHA05391_bin.579.fa.gz,97.03,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.579.fa.gz,2056669,6221
EHA05391_bin.119.fa.gz,89.11,4.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.119.fa.gz,1882217,22389
EHA05391_bin.655.fa.gz,84.91,4.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.655.fa.gz,1467710,4950
EHA05391_bin.465.fa.gz,76.22,5.84,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.465.fa.gz,2239495,41994
EHA05391_bin.492.fa.gz,99.19,4.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.492.fa.gz,1747504,35597
EHA05391_bin.150.fa.gz,89.57,5.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.150.fa.gz,1403033,63302
EHA05391_bin.338.fa.gz,94.97,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.338.fa.gz,1592640,142460
EHA05391_bin.188.fa.gz,60.22,3.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.188.fa.gz,1599181,60945
EHA05391_bin.138.fa.gz,72.72,4.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.138.fa.gz,1646311,11702
EHA05391_bin.603.fa.gz,77.3,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.603.fa.gz,1594286,6080
EHA05391_bin.547.fa.gz,93.65,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.547.fa.gz,2411652,6492
EHA05391_bin.196.fa.gz,88.92,3.4,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.196.fa.gz,2795532,49262
EHA05391_bin.91.fa.gz,50.88,3.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.91.fa.gz,1460742,12241
EHA05391_bin.325.fa.gz,69.67,1.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.325.fa.gz,1022509,34421
EHA05391_bin.8.fa.gz,94.52,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.8.fa.gz,2387621,4950
EHA05391_bin.162.fa.gz,93.29,3.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.162.fa.gz,1444752,12439
EHA05391_bin.455.fa.gz,87.81,2.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.455.fa.gz,1780032,55327
EHA05391_bin.505.fa.gz,99.97,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.505.fa.gz,1637159,16870
EHA05391_bin.501.fa.gz,97.95,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.501.fa.gz,2336160,38762
EHA05391_bin.469.fa.gz,93.57,4.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.469.fa.gz,2432147,28353
EHA05391_bin.524.fa.gz,87.62,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.524.fa.gz,1378934,51198
EHA05391_bin.76.fa.gz,78.13,1.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.76.fa.gz,2209897,3668
EHA05391_bin.72.fa.gz,50.86,6.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.72.fa.gz,2490734,88320
EHA05391_bin.459.fa.gz,95.16,1.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.459.fa.gz,2048628,107175
EHA05391_bin.27.fa.gz,86.07,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.27.fa.gz,2145050,45998
EHA05391_bin.329.fa.gz,95.08,5.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.329.fa.gz,2233741,18113
EHA05391_bin.657.fa.gz,54.65,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.657.fa.gz,1335963,3718
EHA05391_bin.395.fa.gz,81.15,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.395.fa.gz,524854,4631
EHA05391_bin.289.fa.gz,83.07,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.289.fa.gz,1337823,5106
EHA05391_bin.426.fa.gz,87.61,4.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.426.fa.gz,1782078,16660
EHA05391_bin.214.fa.gz,97.11,0.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.214.fa.gz,1719297,17614
EHA05391_bin.516.fa.gz,89.55,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.516.fa.gz,1098341,3852
EHA05391_bin.622.fa.gz,75.99,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.622.fa.gz,1492113,11158
EHA05391_bin.307.fa.gz,94.62,0.33,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.307.fa.gz,1673958,4304
EHA05391_bin.410.fa.gz,98.45,1.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.410.fa.gz,2652002,12125
EHA05391_bin.530.fa.gz,90.01,0.37,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.530.fa.gz,1799275,5726
EHA05391_bin.216.fa.gz,82.63,3.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.216.fa.gz,1769061,111707
EHA05391_bin.116.fa.gz,98.55,0.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.116.fa.gz,1028214,14176
EHA05391_bin.293.fa.gz,95.94,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.293.fa.gz,2569960,15176
EHA05391_bin.674.fa.gz,69.93,2.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.674.fa.gz,1061342,5728
EHA05391_bin.559.fa.gz,94.92,2.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.559.fa.gz,2343484,54422
EHA05391_bin.397.fa.gz,96.84,0.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.397.fa.gz,2826859,56108
EHA05391_bin.594.fa.gz,77.75,3.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.594.fa.gz,631083,2968
