genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
nhnw_bin.231.fa.gz,88.91181260748631,NA,NA,NA,NA,NA,30_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.267.fa.gz,74.02880878666983,NA,NA,NA,NA,NA,31_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.63.fa.gz,71.81759025625188,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.170.fa.gz,34.83208985936033,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.265.fa.gz,70.34717390364004,NA,NA,NA,NA,NA,34_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.581.fa.gz,71.09339157162907,NA,NA,NA,NA,NA,34_2,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.171.fa.gz,89.6068881419185,NA,NA,NA,NA,NA,35_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.218.fa.gz,73.12312491038955,NA,NA,NA,NA,NA,36_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.419.fa.gz,100.728001161627,NA,NA,NA,NA,NA,37_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.585.fa.gz,67.56639784914465,NA,NA,NA,NA,NA,38_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.480.fa.gz,62.89991175022863,NA,NA,NA,NA,NA,39_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.482.fa.gz,59.95148158408363,NA,NA,NA,NA,NA,40_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.444.fa.gz,98.96188363071265,NA,NA,NA,NA,NA,41_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.1.fa.gz,101.20386820085514,NA,NA,NA,NA,NA,42_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.448.fa.gz,80.63156856574147,NA,NA,NA,NA,NA,43_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.17.fa.gz,89.56334623318575,NA,NA,NA,NA,NA,44_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.269.fa.gz,100.80510444629176,NA,NA,NA,NA,NA,45_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.566.fa.gz,68.2188584004325,NA,NA,NA,NA,NA,46_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.111.fa.gz,50.167171578559724,NA,NA,NA,NA,NA,47_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.176.fa.gz,100.69551493223905,NA,NA,NA,NA,NA,48_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.528.fa.gz,65.54344681208386,NA,NA,NA,NA,NA,49_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.370.fa.gz,85.50842838636859,NA,NA,NA,NA,NA,50_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.29.fa.gz,86.94994916216501,NA,NA,NA,NA,NA,50_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.333.fa.gz,78.62628991755284,NA,NA,NA,NA,NA,51_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.519.fa.gz,66.45076434627285,NA,NA,NA,NA,NA,52_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.644.fa.gz,55.632843983855935,NA,NA,NA,NA,NA,53_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.37.fa.gz,66.1384676062285,NA,NA,NA,NA,NA,54_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.320.fa.gz,94.19540762769628,NA,NA,NA,NA,NA,54_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.468.fa.gz,95.02612578595163,NA,NA,NA,NA,NA,55_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.35.fa.gz,75.68024434991834,NA,NA,NA,NA,NA,56_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.90.fa.gz,99.4258553789752,NA,NA,NA,NA,NA,57_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.377.fa.gz,97.6986335361057,NA,NA,NA,NA,NA,58_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.275.fa.gz,91.98045924976988,NA,NA,NA,NA,NA,59_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.173.fa.gz,73.32116919271994,NA,NA,NA,NA,NA,60_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.182.fa.gz,79.8490781768433,NA,NA,NA,NA,NA,61_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.114.fa.gz,90.15990087581223,NA,NA,NA,NA,NA,62_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.303.fa.gz,92.37213813461204,NA,NA,NA,NA,NA,63_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.132.fa.gz,94.6597569368774,NA,NA,NA,NA,NA,64_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.466.fa.gz,74.32821338623512,NA,NA,NA,NA,NA,65_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.580.fa.gz,58.56129513047009,NA,NA,NA,NA,NA,66_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.412.fa.gz,70.42866697565745,NA,NA,NA,NA,NA,67_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.27.fa.gz,63.22151153396185,NA,NA,NA,NA,NA,68_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.506.fa.gz,92.27268775135704,NA,NA,NA,NA,NA,69_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.527.fa.gz,89.00442385418646,NA,NA,NA,NA,NA,70_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.40.fa.gz,69.24535543907346,NA,NA,NA,NA,NA,71_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.241.fa.gz,83.47064048642899,NA,NA,NA,NA,NA,72_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.131.fa.gz,81.42880796180917,NA,NA,NA,NA,NA,73_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.530.fa.gz,74.21019371796058,NA,NA,NA,NA,NA,74_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.482.fa.gz,57.056660855815394,NA,NA,NA,NA,NA,75_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.245.fa.gz,89.94152149965286,NA,NA,NA,NA,NA,76_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.434.fa.gz,80.1768684011384,NA,NA,NA,NA,NA,77_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.82.fa.gz,83.89429542257517,NA,NA,NA,NA,NA,78_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.569.fa.gz,83.49132625486419,NA,NA,NA,NA,NA,79_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.284.fa.gz,76.73822309682338,NA,NA,NA,NA,NA,80_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.92.fa.gz,79.98142430141729,NA,NA,NA,NA,NA,81_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.576.fa.gz,72.87363092484627,NA,NA,NA,NA,NA,82_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.237.fa.gz,70.37881564707628,NA,NA,NA,NA,NA,83_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.36.fa.gz,81.56527109471914,NA,NA,NA,NA,NA,84_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.93.fa.gz,78.28909893355491,NA,NA,NA,NA,NA,85_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.198.fa.gz,77.74515653470118,NA,NA,NA,NA,NA,85_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.94.fa.gz,97.1052360267628,NA,NA,NA,NA,NA,86_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.371.fa.gz,76.07750672513613,NA,NA,NA,NA,NA,87_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.205.fa.gz,46.497263357193575,NA,NA,NA,NA,NA,88_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.230.fa.gz,73.97460646673245,NA,NA,NA,NA,NA,89_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.317.fa.gz,92.7494074237207,NA,NA,NA,NA,NA,90_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.467.fa.gz,98.88766761842541,NA,NA,NA,NA,NA,91_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.352.fa.gz,61.072127839240075,NA,NA,NA,NA,NA,92_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.393.fa.gz,95.48946733648009,NA,NA,NA,NA,NA,92_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.16.fa.gz,95.94722447034927,NA,NA,NA,NA,NA,93_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.125.fa.gz,101.03434978634338,NA,NA,NA,NA,NA,93_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.359.fa.gz,98.50688225518128,NA,NA,NA,NA,NA,94_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.326.fa.gz,90.02204092412606,NA,NA,NA,NA,NA,94_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.317.fa.gz,82.0829958544672,NA,NA,NA,NA,NA,95_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.217.fa.gz,86.24473042081324,NA,NA,NA,NA,NA,96_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.496.fa.gz,62.75978598968786,NA,NA,NA,NA,NA,97_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.19.fa.gz,77.27832867241109,NA,NA,NA,NA,NA,98_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.255.fa.gz,66.23999700006087,NA,NA,NA,NA,NA,98_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.236.fa.gz,70.8816465957991,NA,NA,NA,NA,NA,99_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.90.fa.gz,94.69015941187321,NA,NA,NA,NA,NA,100_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.369.fa.gz,75.47310327692138,NA,NA,NA,NA,NA,101_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.158.fa.gz,87.19281020630777,NA,NA,NA,NA,NA,101_2,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.368.fa.gz,62.57475510204512,NA,NA,NA,NA,NA,102_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.129.fa.gz,38.141482103259,NA,NA,NA,NA,NA,103_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.111.fa.gz,92.46487877304548,NA,NA,NA,NA,NA,104_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.383.fa.gz,85.6541166684609,NA,NA,NA,NA,NA,105_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.384.fa.gz,79.42088595375702,NA,NA,NA,NA,NA,106_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.263.fa.gz,94.45481743415777,NA,NA,NA,NA,NA,107_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.357.fa.gz,98.0909902157267,NA,NA,NA,NA,NA,108_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.461.fa.gz,74.98242224682771,NA,NA,NA,NA,NA,109_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.172.fa.gz,56.17612904004565,NA,NA,NA,NA,NA,110_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.513.fa.gz,34.96578793851696,NA,NA,NA,NA,NA,111_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.49.fa.gz,55.57334720151784,NA,NA,NA,NA,NA,112_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.290.fa.gz,61.48679566737925,NA,NA,NA,NA,NA,112_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.44.fa.gz,52.33716696679173,NA,NA,NA,NA,NA,113_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.77.fa.gz,51.90246270394653,NA,NA,NA,NA,NA,114_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.40.fa.gz,68.77405269920284,NA,NA,NA,NA,NA,115_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.320.fa.gz,93.2225224372757,NA,NA,NA,NA,NA,116_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.358.fa.gz,98.03959354865411,NA,NA,NA,NA,NA,117_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.31.fa.gz,98.62566325693086,NA,NA,NA,NA,NA,118_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.56.fa.gz,90.1708977156476,NA,NA,NA,NA,NA,119_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.484.fa.gz,65.54632945758577,NA,NA,NA,NA,NA,120_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.425.fa.gz,67.84582694358843,NA,NA,NA,NA,NA,121_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.442.fa.gz,63.835374251690496,NA,NA,NA,NA,NA,122_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.242.fa.gz,49.344777795493,NA,NA,NA,NA,NA,123_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.354.fa.gz,99.56117348711136,NA,NA,NA,NA,NA,124_1,NA,NA,2,98.90,98.90,NA,NA
nhnw_bin.400.fa.gz,59.222640716905815,NA,NA,NA,NA,NA,125_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.105.fa.gz,94.57230480330395,NA,NA,NA,NA,NA,126_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.532.fa.gz,86.31789276699814,NA,NA,NA,NA,NA,127_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.264.fa.gz,77.29919482438521,NA,NA,NA,NA,NA,128_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.384.fa.gz,63.71896484727597,NA,NA,NA,NA,NA,129_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.201.fa.gz,76.60361651875094,NA,NA,NA,NA,NA,130_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.366.fa.gz,72.82670113963124,NA,NA,NA,NA,NA,131_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.38.fa.gz,100.81436041494663,NA,NA,NA,NA,NA,132_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.491.fa.gz,84.09690861198372,NA,NA,NA,NA,NA,133_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.159.fa.gz,100.43687335469716,NA,NA,NA,NA,NA,134_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.58.fa.gz,94.86185046269482,NA,NA,NA,NA,NA,135_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.76.fa.gz,71.98221466349898,NA,NA,NA,NA,NA,136_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.184.fa.gz,57.43700834056022,NA,NA,NA,NA,NA,137_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.627.fa.gz,94.34395027007132,NA,NA,NA,NA,NA,138_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.476.fa.gz,82.41747488030772,NA,NA,NA,NA,NA,139_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.61.fa.gz,99.84901462646664,NA,NA,NA,NA,NA,140_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.234.fa.gz,89.75220217612171,NA,NA,NA,NA,NA,141_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.348.fa.gz,36.46023445560874,NA,NA,NA,NA,NA,142_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.257.fa.gz,81.81874415035266,NA,NA,NA,NA,NA,143_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.493.fa.gz,80.47644906543933,NA,NA,NA,NA,NA,144_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.260.fa.gz,93.6989899850934,NA,NA,NA,NA,NA,145_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.416.fa.gz,92.79534691634329,NA,NA,NA,NA,NA,146_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.107.fa.gz,79.55668716140137,NA,NA,NA,NA,NA,147_1,NA,NA,2,98.18,98.18,NA,NA
EHA05391_bin.301.fa.gz,97.27546810212195,NA,NA,NA,NA,NA,148_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.347.fa.gz,87.01508970785423,NA,NA,NA,NA,NA,149_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.368.fa.gz,93.44463568069212,NA,NA,NA,NA,NA,150_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.190.fa.gz,59.87908663108513,NA,NA,NA,NA,NA,151_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.262.fa.gz,80.04626820929651,NA,NA,NA,NA,NA,152_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.251.fa.gz,69.300425991044,NA,NA,NA,NA,NA,153_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.219.fa.gz,84.31439160905501,NA,NA,NA,NA,NA,154_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.198.fa.gz,79.8386461687837,NA,NA,NA,NA,NA,155_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.518.fa.gz,88.41754574916217,NA,NA,NA,NA,NA,156_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.434.fa.gz,78.66982621268303,NA,NA,NA,NA,NA,157_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.688.fa.gz,51.191124107677524,NA,NA,NA,NA,NA,158_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.456.fa.gz,39.52204167129248,NA,NA,NA,NA,NA,159_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.294.fa.gz,97.58677557443012,NA,NA,NA,NA,NA,160_1,NA,NA,2,98.39,98.39,NA,NA
EHA05415_bin.21.fa.gz,58.43065564758,NA,NA,NA,NA,NA,161_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.429.fa.gz,66.3427361016532,NA,NA,NA,NA,NA,162_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.542.fa.gz,72.20452316842659,NA,NA,NA,NA,NA,163_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.420.fa.gz,82.78562917906653,NA,NA,NA,NA,NA,164_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.533.fa.gz,75.77406619996044,NA,NA,NA,NA,NA,165_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.155.fa.gz,86.87826965518849,NA,NA,NA,NA,NA,166_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.79.fa.gz,86.49396418441759,NA,NA,NA,NA,NA,167_1,NA,NA,2,98.56,98.56,NA,NA
EHA05391_bin.562.fa.gz,66.42968108175582,NA,NA,NA,NA,NA,168_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.361.fa.gz,97.96537850917629,NA,NA,NA,NA,NA,169_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.156.fa.gz,68.0597267395474,NA,NA,NA,NA,NA,170_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.390.fa.gz,89.46695288510875,NA,NA,NA,NA,NA,170_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.180.fa.gz,88.7122637183498,NA,NA,NA,NA,NA,171_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.588.fa.gz,80.56262301754032,NA,NA,NA,NA,NA,172_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.468.fa.gz,80.31261489149027,NA,NA,NA,NA,NA,173_0,NA,NA,1,NA,NA,NA,NA
EHA05415_bin.81.fa.gz,82.30377915100232,NA,NA,NA,NA,NA,174_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.600.fa.gz,97.13304385323049,NA,NA,NA,NA,NA,175_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.51.fa.gz,88.4443359470433,NA,NA,NA,NA,NA,176_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.357.fa.gz,76.62906057516875,NA,NA,NA,NA,NA,177_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.329.fa.gz,69.12899519355965,NA,NA,NA,NA,NA,178_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.337.fa.gz,94.7326805153812,NA,NA,NA,NA,NA,178_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.498.fa.gz,96.02766561460363,NA,NA,NA,NA,NA,179_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.398.fa.gz,86.32894610086922,NA,NA,NA,NA,NA,180_1,NA,NA,2,98.26,98.26,NA,NA
nhnw_bin.599.fa.gz,35.878188571998805,NA,NA,NA,NA,NA,181_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.386.fa.gz,72.14726809318621,NA,NA,NA,NA,NA,182_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.446.fa.gz,76.54948783613659,NA,NA,NA,NA,NA,183_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.146.fa.gz,74.35116692961863,NA,NA,NA,NA,NA,184_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.358.fa.gz,95.98168113901056,NA,NA,NA,NA,NA,185_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.15.fa.gz,73.79352502097362,NA,NA,NA,NA,NA,185_2,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.418.fa.gz,60.9513169612669,NA,NA,NA,NA,NA,186_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.360.fa.gz,67.75936602843665,NA,NA,NA,NA,NA,187_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.124.fa.gz,85.51227391698184,NA,NA,NA,NA,NA,187_2,NA,NA,1,NA,NA,NA,NA
nhnw_bin.401.fa.gz,74.93607515267048,NA,NA,NA,NA,NA,188_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.224.fa.gz,92.25625088160736,NA,NA,NA,NA,NA,189_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.59.fa.gz,93.88562917906654,NA,NA,NA,NA,NA,190_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.230.fa.gz,81.29194082388152,NA,NA,NA,NA,NA,191_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.377.fa.gz,96.35684052409864,NA,NA,NA,NA,NA,192_1,NA,NA,2,99.25,99.25,NA,NA
nhnw_bin.343.fa.gz,67.12228737764741,NA,NA,NA,NA,NA,193_0,NA,NA,1,NA,NA,NA,NA
nhnw_bin.511.fa.gz,88.97601173368534,NA,NA,NA,NA,NA,194_0,NA,NA,1,NA,NA,NA,NA
EHA05391_bin.655.fa.gz,64.72730259946678,NA,NA,NA,NA,NA,195_1,NA,NA,1,NA,NA,NA,NA
nhnw_bin.203.fa.gz,79.06391542497174,NA,NA,NA,NA,NA,195_2,NA,NA,1,NA,NA,NA,NA
