Genome	B2_1_23_RUNR Read Count	B2_1_23_RUNR Covered Fraction	B2_1_23_RUNR Length	B120_23_EFNP_TC Read Count	B120_23_EFNP_TC Covered Fraction	B120_23_EFNP_TC Length	B362F_22_EFNP_WH Read Count	B362F_22_EFNP_WH Covered Fraction	B362F_22_EFNP_WH Length	B18F_22_EFNP_N1 Read Count	B18F_22_EFNP_N1 Covered Fraction	B18F_22_EFNP_N1 Length	B357_23_EFNP_TE Read Count	B357_23_EFNP_TE Covered Fraction	B357_23_EFNP_TE Length	B111F_22_EFNP_N1 Read Count	B111F_22_EFNP_N1 Covered Fraction	B111F_22_EFNP_N1 Length	B31_23_EFNP_N31 Read Count	B31_23_EFNP_N31 Covered Fraction	B31_23_EFNP_N31 Length	B407_23_EFNP_DW Read Count	B407_23_EFNP_DW Covered Fraction	B407_23_EFNP_DW Length	B201_23_EFNP_BB Read Count	B201_23_EFNP_BB Covered Fraction	B201_23_EFNP_BB Length	B33_23_RUNR Read Count	B33_23_RUNR Covered Fraction	B33_23_RUNR Length	B462_23_EFNP_CV Read Count	B462_23_EFNP_CV Covered Fraction	B462_23_EFNP_CV Length	B218_23_EFNP_N96 Read Count	B218_23_EFNP_N96 Covered Fraction	B218_23_EFNP_N96 Length	B246F_22_EFNP_N1 Read Count	B246F_22_EFNP_N1 Covered Fraction	B246F_22_EFNP_N1 Length	B184F_22_EFNP_BB Read Count	B184F_22_EFNP_BB Covered Fraction	B184F_22_EFNP_BB Length	B109_23_EFNP_N1 Read Count	B109_23_EFNP_N1 Covered Fraction	B109_23_EFNP_N1 Length	B163F_22_EFNP_N1 Read Count	B163F_22_EFNP_N1 Covered Fraction	B163F_22_EFNP_N1 Length	B39_23_RUNR Read Count	B39_23_RUNR Covered Fraction	B39_23_RUNR Length	B382_23_EFNP_CC Read Count	B382_23_EFNP_CC Covered Fraction	B382_23_EFNP_CC Length	B11_23_RUNR Read Count	B11_23_RUNR Covered Fraction	B11_23_RUNR Length	B63_23_RUNR Read Count	B63_23_RUNR Covered Fraction	B63_23_RUNR Length	FS1_1_23_RUNR Read Count	FS1_1_23_RUNR Covered Fraction	FS1_1_23_RUNR Length	B441_23_EFNP_RE Read Count	B441_23_EFNP_RE Covered Fraction	B441_23_EFNP_RE Length	No_69_road_23_EFNP_N69 Read Count	No_69_road_23_EFNP_N69 Covered Fraction	No_69_road_23_EFNP_N69 Length	B461F_22_EFNP_BB Read Count	B461F_22_EFNP_BB Covered Fraction	B461F_22_EFNP_BB Length	B19_1_23_RUNR Read Count	B19_1_23_RUNR Covered Fraction	B19_1_23_RUNR Length	B19_2_23_RUNR Read Count	B19_2_23_RUNR Covered Fraction	B19_2_23_RUNR Length	B466F_22_EFNP_N1 Read Count	B466F_22_EFNP_N1 Covered Fraction	B466F_22_EFNP_N1 Length	B363_23_EFNP_WH Read Count	B363_23_EFNP_WH Covered Fraction	B363_23_EFNP_WH Length	B6_23_RUNR Read Count	B6_23_RUNR Covered Fraction	B6_23_RUNR Length	FS11F_22_EFNP_N1 Read Count	FS11F_22_EFNP_N1 Covered Fraction	FS11F_22_EFNP_N1 Length	B361_23_EFNP_N88 Read Count	B361_23_EFNP_N88 Covered Fraction	B361_23_EFNP_N88 Length	B478_23_EFNP_NB Read Count	B478_23_EFNP_NB Covered Fraction	B478_23_EFNP_NB Length	B83F_22_EFNP_WH Read Count	B83F_22_EFNP_WH Covered Fraction	B83F_22_EFNP_WH Length	B369F_22_EFNP_CV Read Count	B369F_22_EFNP_CV Covered Fraction	B369F_22_EFNP_CV Length	B250F_22_EFNP_CV Read Count	B250F_22_EFNP_CV Covered Fraction	B250F_22_EFNP_CV Length	B29F_22_EFNP_BB Read Count	B29F_22_EFNP_BB Covered Fraction	B29F_22_EFNP_BB Length	B523F_22_EFNP_DW Read Count	B523F_22_EFNP_DW Covered Fraction	B523F_22_EFNP_DW Length	B220_23_EFNP_FF Read Count	B220_23_EFNP_FF Covered Fraction	B220_23_EFNP_FF Length	B458_23_EFNP_N1 Read Count	B458_23_EFNP_N1 Covered Fraction	B458_23_EFNP_N1 Length	B534F_22_EFNP_CC Read Count	B534F_22_EFNP_CC Covered Fraction	B534F_22_EFNP_CC Length	B328_23_EFNP_CC Read Count	B328_23_EFNP_CC Covered Fraction	B328_23_EFNP_CC Length
nhnw_bin.16	41233	0.8057559	2030512	9689	0.3505717	2030512	479461	0.9715111	2030512	178036	0.9490631	2030512	60976	0.8598388	2030512	132267	0.95352405	2030512	251694	0.96576625	2030512	4705	0.20513842	2030512	159482	0.9316763	2030512	202329	0.9330435	2030512	730471	0.99407244	2030512	590242	0.9959557	2030512	675058	0.97877675	2030512	333636	0.9625129	2030512	181649	0.9595063	2030512	130041	0.943793	2030512	373222	0.97582483	2030512	90105	0.93743795	2030512	264154	0.92911196	2030512	1452	0.064458124	2030512	60765	0.84641606	2030512	444501	0.96735895	2030512	1496	0.06729534	2030512	25979	0.64674526	2030512	355584	0.9602731	2030512	1873	0.067126915	2030512	51007	0.8284201	2030512	86671	0.91741884	2030512	867705	0.97668666	2030512	226566	0.96475124	2030512	11431	0.41613495	2030512	543	0.017053334	2030512	400442	0.96338016	2030512	42542	0.7627869	2030512	1885300	0.96291035	2030512	299439	0.9588739	2030512	627333	0.9693885	2030512	4	0.00023343867	2030512	110610	0.9604538	2030512	309619	0.98361844	2030512	3401	0.14573418	2030512
nhnw_bin.170	2986	0.11651528	2422635	1664	0.06665717	2422635	65486	0.84811866	2422635	325224	0.9819036	2422635	10933	0.32999977	2422635	49235	0.80903274	2422635	53503	0.7465161	2422635	6029	0.22113939	2422635	2276	0.064724565	2422635	6265	0.13340351	2422635	24729	0.52317786	2422635	54125	0.7704813	2422635	93616	0.91338813	2422635	170635	0.9814256	2422635	40212	0.68640095	2422635	641615	0.99598455	2422635	5812	0.18848321	2422635	5726	0.20899351	2422635	3455	0.0974988	2422635	660	0.027636437	2422635	3115	0.099490434	2422635	3397	0.13491096	2422635	1325	0.04951138	2422635	171824	0.9813042	2422635	3543	0.11331422	2422635	390	0.012456272	2422635	143124	0.97230947	2422635	5794	0.19522876	2422635	2408	0.07788297	2422635	66427	0.8524202	2422635	3947	0.15230772	2422635	81	0.0020873966	2422635	83964	0.83819026	2422635	214568	0.9835196	2422635	495171	0.9965777	2422635	91189	0.91611075	2422635	28326	0.540315	2422635	1890	0.057948887	2422635	35173	0.71142906	2422635	45565	0.8055873	2422635	6653	0.22335102	2422635
nhnw_bin.171	801	0.013782479	2162891	3279	0.03605406	2162891	5859	0.037085086	2162891	9341	0.112209074	2162891	1524	0.012364932	2162891	3404	0.01825982	2162891	13921	0.119982004	2162891	3669	0.12412184	2162891	7533	0.019763825	2162891	3073	0.027361065	2162891	1721	0.015643414	2162891	10665	0.061490383	2162891	10006	0.04123786	2162891	8232	0.04220832	2162891	53000	0.8817102	2162891	6141	0.05311456	2162891	11447	0.26670876	2162891	1701	0.018949175	2162891	3176	0.029036138	2162891	3128	0.091132194	2162891	1192	0.017912136	2162891	8068	0.19993564	2162891	69175	0.9086861	2162891	146899	0.98449343	2162891	7648	0.042853292	2162891	181	0.0056244167	2162891	6837	0.14401974	2162891	11619	0.2374507	2162891	4754	0.03803243	2162891	5276	0.03090632	2162891	5148	0.034544043	2162891	5075	0.14060856	2162891	19501	0.07235085	2162891	4403	0.04190595	2162891	24227	0.051540278	2162891	6974	0.03717617	2162891	7711	0.03253192	2162891	1956	0.011834623	2162891	24382	0.5411299	2162891	5797	0.029271932	2162891	5797	0.111257106	2162891
nhnw_bin.172	1186	0.023024134	4377146	1715	0.01879101	4377146	6286	0.087393016	4377146	22739	0.3455105	4377146	876	0.01510916	4377146	3937	0.052177377	4377146	2527	0.027992897	4377146	652	0.010538602	4377146	15538	0.028882518	4377146	338	0.0034536202	4377146	2797	0.015422378	4377146	1954	0.016131973	4377146	4282	0.06320168	4377146	3723	0.034676705	4377146	3254	0.022782654	4377146	358863	0.9353101	4377146	2123	0.020513594	4377146	5612	0.019658243	4377146	288	0.0027195802	4377146	669	0.011597511	4377146	45	0.00061432726	4377146	34826	0.5399756	4377146	2336	0.019431612	4377146	22685	0.28974497	4377146	519	0.004990923	4377146	380	0.006227117	4377146	363281	0.98410857	4377146	84509	0.056162853	4377146	1480	0.015138174	4377146	6319	0.094313055	4377146	650	0.0041778362	4377146	8723	0.022132458	4377146	119806	0.69435585	4377146	12967	0.041121542	4377146	35056	0.071129225	4377146	1509	0.017825542	4377146	6054	0.05448573	4377146	27815	0.021005468	4377146	2426	0.013651361	4377146	2540	0.024812743	4377146	453	0.0070335786	4377146
nhnw_bin.173	1766	0.064951114	2326211	82888	0.95315427	2326211	80150	0.9187107	2326211	52993	0.8310381	2326211	40064	0.78304034	2326211	227135	0.9882302	2326211	53421	0.8825721	2326211	148461	0.98317695	2326211	283078	0.987508	2326211	43243	0.58756536	2326211	210926	0.98825383	2326211	159341	0.980583	2326211	134922	0.96979123	2326211	211769	0.9886004	2326211	202504	0.9862605	2326211	108612	0.9769505	2326211	36471	0.7377022	2326211	61022	0.8681091	2326211	53185	0.7930214	2326211	52504	0.8760933	2326211	45066	0.770673	2326211	212877	0.99188036	2326211	35768	0.7378432	2326211	256272	0.9940388	2326211	58772	0.8535167	2326211	5658	0.16297576	2326211	83872	0.9459937	2326211	2053	0.02300737	2326211	400631	0.9818331	2326211	151714	0.97700894	2326211	111014	0.976932	2326211	6183	0.14148673	2326211	66653	0.7999923	2326211	20031	0.42655545	2326211	1893191	0.99605626	2326211	145760	0.97941804	2326211	221207	0.98251235	2326211	25450	0.5390663	2326211	79244	0.94703704	2326211	140919	0.9859441	2326211	113355	0.9730652	2326211
nhnw_bin.174	278	0.012010799	1908033	91	0.0037347362	1908033	9560	0.32889786	1908033	2412	0.08712271	1908033	71	0.0011671706	1908033	3643	0.15672475	1908033	215	0.0038825325	1908033	78	0.0009370907	1908033	1136	0.017734494	1908033	8573	0.21013159	1908033	38	0.0007788125	1908033	854	0.005038173	1908033	142	0.0014669558	1908033	37202	0.8436872	1908033	72	0.0011923274	1908033	3350	0.1356596	1908033	14311	0.46711615	1908033	17	0.0007153964	1908033	497	0.002962213	1908033	48	0.00082283694	1908033	1096	0.042213105	1908033	74	0.0015796373	1908033	6096	0.24803083	1908033	7040	0.27746218	1908033	11487	0.35952103	1908033	49	0.0008097344	1908033	28245	0.70768166	1908033	214	0.0026456565	1908033	527	0.0025555114	1908033	111	0.0017017525	1908033	300	0.0069705294	1908033	2	0.000034590597	1908033	8698	0.24672005	1908033	26222	0.6522733	1908033	6770	0.1985993	1908033	23243	0.6381268	1908033	14081	0.42738777	1908033	91	0.0011268149	1908033	112	0.0018013315	1908033	395	0.020894293	1908033	242	0.005191734	1908033
nhnw_bin.175	16174	0.53070843	1941192	34475	0.79947114	1941192	220191	0.9800617	1941192	431822	0.981585	1941192	59034	0.90758824	1941192	149626	0.970735	1941192	88169	0.9556592	1941192	66880	0.93674296	1941192	1586902	0.98478925	1941192	150404	0.9579681	1941192	91479	0.958271	1941192	1191360	0.9842442	1941192	280353	0.9805893	1941192	180617	0.9758097	1941192	72940	0.9442956	1941192	271372	0.9784653	1941192	112878	0.9536208	1941192	92556	0.95339	1941192	68797	0.87084275	1941192	68770	0.9286773	1941192	28321	0.6454426	1941192	244975	0.97837824	1941192	102237	0.95086575	1941192	154878	0.9726859	1941192	138664	0.95754105	1941192	4451	0.15424801	1941192	98973	0.95338947	1941192	205796	0.9801813	1941192	237671	0.96010906	1941192	130151	0.96335137	1941192	124035	0.95714027	1941192	4208	0.12189521	1941192	489518	0.98589426	1941192	101315	0.9412835	1941192	1871580	0.9943313	1941192	186783	0.9722346	1941192	709908	0.9722274	1941192	80707	0.9079725	1941192	143354	0.979221	1941192	94177	0.9646851	1941192	184399	0.95772445	1941192
nhnw_bin.176	1389	0.08164091	1594556	4313	0.23219505	1594556	24475	0.7214999	1594556	9975	0.4296312	1594556	2122	0.113518745	1594556	1688	0.09265839	1594556	5209	0.27924702	1594556	1138	0.06770725	1594556	5925	0.267529	1594556	2110	0.072383784	1594556	4965	0.26494586	1594556	46429	0.9122339	1594556	4828	0.2299474	1594556	3984	0.20727211	1594556	3511	0.19345699	1594556	45949	0.9326954	1594556	13900	0.5408515	1594556	8017	0.37082422	1594556	7406	0.28436944	1594556	852	0.052023888	1594556	721	0.034400173	1594556	7421	0.37693566	1594556	5995	0.29812124	1594556	2370	0.12712881	1594556	11177	0.44667608	1594556	150	0.0067517227	1594556	3913	0.18501012	1594556	7217	0.35524246	1594556	37356	0.8231621	1594556	3967	0.19322056	1594556	4064	0.22229573	1594556	230	0.0093524465	1594556	96839	0.9791321	1594556	17070	0.5780675	1594556	60988	0.95958626	1594556	4971	0.23376475	1594556	75951	0.9757832	1594556	2556	0.11380033	1594556	8798	0.4113584	1594556	3114	0.17396629	1594556	3257	0.17203848	1594556
nhnw_bin.177	2387	0.074512005	2993947	8835	0.25024223	2993947	16143	0.34045961	2993947	83496	0.9092656	2993947	2177	0.063767664	2993947	16817	0.37619036	2993947	5275	0.1504873	2993947	794	0.024216194	2993947	64966	0.82528245	2993947	15724	0.24500501	2993947	2806	0.08274395	2993947	76847	0.86729795	2993947	32031	0.5914771	2993947	12494	0.3165557	2993947	5835	0.17199135	2993947	26869	0.56632936	2993947	21085	0.45237008	2993947	15306	0.3790241	2993947	25827	0.4638185	2993947	5065	0.1529977	2993947	10058	0.22391044	2993947	38435	0.72389024	2993947	67918	0.8697462	2993947	14924	0.34666413	2993947	62615	0.8134195	2993947	2895	0.06741836	2993947	20754	0.40804663	2993947	18297	0.4354763	2993947	54664	0.736509	2993947	27110	0.5285167	2993947	11126	0.29822806	2993947	193	0.0038303952	2993947	1054	0.004600282	2993947	12301	0.281691	2993947	77638	0.8642314	2993947	20796	0.4308974	2993947	17522	0.3650823	2993947	5222	0.122653805	2993947	5093	0.14557539	2993947	23414	0.52478385	2993947	44774	0.73241776	2993947
nhnw_bin.178	3378	0.14111896	2003246	9889	0.36984274	2003246	5569	0.1967382	2003246	1821	0.045794677	2003246	1873	0.080380045	2003246	568	0.017982814	2003246	3622	0.1305626	2003246	1382	0.05703044	2003246	8972	0.27509502	2003246	2442	0.05442517	2003246	2652	0.10148529	2003246	15380	0.4252039	2003246	2113	0.05515698	2003246	5273	0.20933574	2003246	316	0.0050722677	2003246	1256	0.030636277	2003246	8690	0.29460585	2003246	7090	0.2681433	2003246	4854	0.13203222	2003246	931	0.038443606	2003246	847	0.02993192	2003246	1061	0.022743586	2003246	35815	0.7959312	2003246	1266	0.038910348	2003246	14489	0.4212009	2003246	522	0.019655598	2003246	2281	0.080408	2003246	18808	0.5849965	2003246	2556	0.07488845	2003246	8008	0.26188695	2003246	18638	0.5899585	2003246	74	0.002043683	2003246	20346	0.44993126	2003246	20929	0.5407803	2003246	4330	0.04080028	2003246	2499	0.069675416	2003246	2663	0.02112721	2003246	6184	0.20039526	2003246	7487	0.28913724	2003246	558	0.019652603	2003246	4338	0.16743974	2003246
nhnw_bin.179	1057	0.024581019	1661648	495	0.008756969	1661648	5019	0.1621962	1661648	5128	0.12270529	1661648	3336	0.1432638	1661648	26985	0.694812	1661648	7265	0.24361296	1661648	13246	0.39451075	1661648	76633	0.9225311	1661648	11833	0.20417742	1661648	5861	0.1631892	1661648	66666	0.8720445	1661648	8462	0.11170898	1661648	9852	0.27957606	1661648	11438	0.44539937	1661648	12385	0.29622158	1661648	18082	0.45449397	1661648	732	0.016782736	1661648	6887	0.109260805	1661648	7060	0.2786553	1661648	1462	0.044853665	1661648	3766	0.13053246	1661648	5151	0.16539302	1661648	15779	0.51861167	1661648	5399	0.07619484	1661648	893	0.024541901	1661648	81265	0.96785843	1661648	18841	0.586076	1661648	30968	0.55519277	1661648	3464	0.10863191	1661648	14869	0.30802673	1661648	414	0.014944802	1661648	4067	0.0336744	1661648	5073	0.056268837	1661648	95418	0.83672416	1661648	11677	0.32743758	1661648	1447	0.018003814	1661648	7154	0.23872384	1661648	33884	0.8243581	1661648	12483	0.4068094	1661648	9351	0.29872814	1661648
nhnw_bin.17	5235	0.22462511	1778185	6942	0.2869769	1778185	20666	0.5250269	1778185	29236	0.7125192	1778185	2740	0.07833718	1778185	4026	0.1280626	1778185	15670	0.47466713	1778185	3908	0.14862852	1778185	139895	0.98586535	1778185	11321	0.2277384	1778185	25491	0.70280373	1778185	72476	0.92648685	1778185	23939	0.6063953	1778185	21708	0.6231393	1778185	8476	0.3069765	1778185	32059	0.7731693	1778185	30529	0.7215492	1778185	13483	0.44221047	1778185	9736	0.2764645	1778185	3815	0.16292174	1778185	4528	0.1509528	1778185	27450	0.7424211	1778185	8708	0.32339042	1778185	14884	0.47358796	1778185	23124	0.5817983	1778185	508	0.019641375	1778185	4665	0.09285704	1778185	27830	0.7288207	1778185	22150	0.47294515	1778185	12430	0.3694503	1778185	12218	0.44248545	1778185	312	0.010424112	1778185	62054	0.84836394	1778185	13661	0.43986088	1778185	223924	0.9969148	1778185	29303	0.6917868	1778185	45306	0.81754655	1778185	5841	0.17925863	1778185	19138	0.5756409	1778185	11357	0.401109	1778185	8247	0.2967942	1778185
nhnw_bin.180	2613	0.08801991	2355433	5955	0.18488532	2355433	16108	0.41793546	2355433	2795	0.03160905	2355433	8291	0.2669076	2355433	29121	0.68181646	2355433	11693	0.22901055	2355433	1351	0.024097055	2355433	18092	0.38821355	2355433	5273	0.10210225	2355433	8373	0.27180946	2355433	72954	0.898102	2355433	20515	0.51094556	2355433	44489	0.80697435	2355433	4298	0.14037037	2355433	2949	0.04675786	2355433	4254	0.067145616	2355433	1285	0.020848395	2355433	4686	0.10367054	2355433	3160	0.103648886	2355433	7245	0.21096079	2355433	23809	0.6253954	2355433	41177	0.78059405	2355433	1782	0.04509744	2355433	58888	0.8387719	2355433	1285	0.04737473	2355433	2511	0.052012943	2355433	23032	0.5843363	2355433	6568	0.1725152	2355433	2680	0.047373455	2355433	5493	0.16960363	2355433	2751	0.091238	2355433	70334	0.8416788	2355433	82984	0.9303173	2355433	33333	0.5207862	2355433	16313	0.41629672	2355433	1773	0.04351599	2355433	26079	0.59077543	2355433	1903	0.016765071	2355433	1468	0.021025434	2355433	98064	0.9563388	2355433
nhnw_bin.181	898	0.04013488	2071141	2302	0.10522557	2071141	10358	0.32033068	2071141	8233	0.2759764	2071141	1973	0.07986274	2071141	3230	0.12215972	2071141	3194	0.1337963	2071141	5950	0.24854995	2071141	32100	0.690587	2071141	13331	0.29845724	2071141	5459	0.21334086	2071141	19007	0.51935816	2071141	19576	0.54542303	2071141	4837	0.18231641	2071141	5143	0.21921106	2071141	7185	0.2635615	2071141	4347	0.15706608	2071141	2604	0.108079076	2071141	3259	0.10043208	2071141	3325	0.15038812	2071141	3924	0.13586038	2071141	7994	0.31729707	2071141	1999	0.08268293	2071141	3906	0.15155607	2071141	9402	0.2954951	2071141	463	0.015625687	2071141	13105	0.40119576	2071141	7487	0.27414793	2071141	12266	0.35772118	2071141	6629	0.23372334	2071141	8258	0.3220925	2071141	297	0.009224384	2071141	5398	0.12855764	2071141	5636	0.18734698	2071141	41829	0.7815861	2071141	6072	0.20777147	2071141	3867	0.13833535	2071141	2969	0.0945305	2071141	8918	0.349137	2071141	5008	0.214363	2071141	13489	0.44914374	2071141
nhnw_bin.182	1115	0.031197632	3138828	1913	0.048885442	3138828	3390	0.0818573	3138828	9518	0.22496071	3138828	3540	0.093805395	3138828	11971	0.30477235	3138828	16036	0.37135836	3138828	4586	0.13221973	3138828	15159	0.26323265	3138828	5555	0.08423335	3138828	3052	0.084473886	3138828	3020	0.06040726	3138828	6304	0.15748586	3138828	23070	0.50308776	3138828	2652	0.08107803	3138828	11963	0.30113405	3138828	4887	0.10420705	3138828	1876	0.050975714	3138828	1613	0.030733446	3138828	548	0.016607154	3138828	490	0.011212465	3138828	5699	0.15299277	3138828	11447	0.24857335	3138828	12376	0.2884035	3138828	7562	0.15308294	3138828	265	0.0063612917	3138828	16654	0.37130484	3138828	1201	0.029281948	3138828	2049	0.04625548	3138828	2083	0.051833678	3138828	3504	0.096178256	3138828	255	0.005206402	3138828	38942	0.5634673	3138828	37832	0.62864864	3138828	33816	0.56616133	3138828	9074	0.22132783	3138828	12445	0.27117732	3138828	2216	0.04823552	3138828	5259	0.1443902	3138828	4946	0.1384692	3138828	4969	0.13282092	3138828
nhnw_bin.183	147	0.0036094557	3783119	1455	0.03714792	3783119	40759	0.58883107	3783119	11673	0.23269635	3783119	231	0.00573918	3783119	455	0.009685659	3783119	36212	0.60477215	3783119	536	0.014332619	3783119	300998	0.97304976	3783119	108	0.0014818461	3783119	5368	0.1173907	3783119	1293	0.026349422	3783119	3014	0.065381765	3783119	11005	0.24871726	3783119	2695	0.067627005	3783119	18118	0.35387653	3783119	4978	0.07371563	3783119	66134	0.8081472	3783119	382	0.0064245933	3783119	8	0.00016309293	3783119	92	0.0016742799	3783119	2116	0.054756407	3783119	36	0.00032962218	3783119	31616	0.5287949	3783119	842	0.017278336	3783119	180	0.0035642548	3783119	46792	0.6444167	3783119	6515	0.15285932	3783119	1686	0.034318507	3783119	63143	0.73004526	3783119	69	0.0019150864	3783119	2	0.00004546513	3783119	8655	0.1352511	3783119	144362	0.948972	3783119	139826	0.91612476	3783119	5294	0.11986406	3783119	82404	0.7960524	3783119	186	0.0035880448	3783119	6533	0.16337974	3783119	6441	0.14986682	3783119	53	0.0011723131	3783119
nhnw_bin.184	2058	0.09359779	1985378	5762	0.24359643	1985378	3125	0.11798761	1985378	3145	0.12747094	1985378	1416	0.0613324	1985378	4327	0.18500054	1985378	16732	0.5705367	1985378	7290	0.31586125	1985378	8386	0.25016043	1985378	6623	0.1671314	1985378	1082	0.044089336	1985378	8683	0.30046672	1985378	8754	0.30675417	1985378	24362	0.68712354	1985378	1035	0.051624425	1985378	5830	0.23991048	1985378	10540	0.37173223	1985378	604	0.02783198	1985378	2663	0.09167272	1985378	658	0.032089103	1985378	1338	0.05196139	1985378	899	0.04109998	1985378	30131	0.73751396	1985378	3511	0.14251997	1985378	14239	0.4304077	1985378	202	0.007144735	1985378	783	0.02610737	1985378	6565	0.26629338	1985378	2335	0.08761656	1985378	11355	0.37322667	1985378	12270	0.46058887	1985378	160	0.0038974946	1985378	18157	0.45153567	1985378	24135	0.62833476	1985378	28652	0.66803753	1985378	6257	0.21926756	1985378	511	0.019203397	1985378	3010	0.10604127	1985378	3841	0.17888685	1985378	1412	0.06750654	1985378	5592	0.22808906	1985378
nhnw_bin.185	23507	0.6376137	2148114	42659	0.8368727	2148114	41948	0.7747927	2148114	34556	0.7176793	2148114	17651	0.50608397	2148114	17938	0.51141655	2148114	96581	0.9715071	2148114	20605	0.60234606	2148114	240126	0.9899726	2148114	20619	0.40059	2148114	22148	0.6073798	2148114	93182	0.9484427	2148114	113526	0.97541517	2148114	40484	0.77858627	2148114	7826	0.28378755	2148114	33241	0.73599815	2148114	101556	0.9674473	2148114	3250	0.12464608	2148114	28455	0.5698841	2148114	15362	0.5045817	2148114	19215	0.47568193	2148114	14207	0.4765706	2148114	101385	0.96529233	2148114	18547	0.5277644	2148114	186284	0.97392505	2148114	7157	0.20731954	2148114	1683	0.03843558	2148114	129833	0.98447895	2148114	102411	0.9419961	2148114	73155	0.9229729	2148114	47699	0.8708374	2148114	356	0.009736913	2148114	95816	0.9296248	2148114	52156	0.82177156	2148114	195248	0.9909344	2148114	14709	0.4049338	2148114	3743	0.11556044	2148114	52947	0.8101381	2148114	50104	0.8780558	2148114	5430	0.2083963	2148114	32186	0.71765	2148114
nhnw_bin.186	15918	0.49486202	2263635	101799	0.98410875	2263635	21302	0.5163496	2263635	245399	0.9982643	2263635	432	0.0056175133	2263635	30690	0.72008914	2263635	174	0.0034400423	2263635	18940	0.56272674	2263635	595	0.004076187	2263635	23071	0.42543298	2263635	10822	0.3386668	2263635	127003	0.98456025	2263635	28882	0.6233364	2263635	926	0.0066048633	2263635	6724	0.23624304	2263635	244004	0.99872816	2263635	14250	0.4173535	2263635	41144	0.8318276	2263635	17131	0.40396708	2263635	6213	0.23596384	2263635	27004	0.5912654	2263635	32108	0.75837535	2263635	25221	0.6325481	2263635	23457	0.6042785	2263635	90461	0.94749594	2263635	3801	0.11480915	2263635	4022	0.13599189	2263635	33201	0.719897	2263635	109820	0.9661089	2263635	87484	0.9473029	2263635	162142	0.9967128	2263635	1245	0.03583219	2263635	5015	0.124327466	2263635	368	0.0042979545	2263635	3574	0.01019334	2263635	504	0.0062629357	2263635	55339	0.8210944	2263635	136697	0.96839285	2263635	129927	0.9915247	2263635	578	0.006285466	2263635	23024	0.60824513	2263635
nhnw_bin.187	366	0.023709953	1547367	1714	0.102095366	1547367	2620	0.13044353	1547367	3455	0.17884897	1547367	1447	0.0816264	1547367	518	0.030112443	1547367	13935	0.60073274	1547367	1514	0.09758383	1547367	2774	0.13327348	1547367	1278	0.043379497	1547367	318	0.020905836	1547367	8071	0.34860057	1547367	4363	0.21613619	1547367	622	0.03898041	1547367	2226	0.13437149	1547367	4168	0.23097107	1547367	1163	0.061896756	1547367	210	0.01256457	1547367	3346	0.14755194	1547367	603	0.03719286	1547367	1082	0.050954297	1547367	2210	0.13559227	1547367	7691	0.37331933	1547367	731	0.0438112	1547367	6482	0.29281482	1547367	335	0.015204538	1547367	4630	0.22980133	1547367	2077	0.121048205	1547367	3336	0.15599273	1547367	2987	0.14908744	1547367	2118	0.13047002	1547367	107	0.004919324	1547367	2323	0.09844206	1547367	210	0.011284976	1547367	6538	0.29189196	1547367	633	0.035180405	1547367	2655	0.12963441	1547367	604	0.027028494	1547367	637	0.038796872	1547367	2255	0.13771135	1547367	314	0.019476311	1547367
nhnw_bin.188	28708	0.6764977	2105138	81751	0.8803166	2105138	38222	0.6673463	2105138	28816	0.5642438	2105138	7921	0.2516253	2105138	22413	0.5923973	2105138	35999	0.69065493	2105138	5937	0.21728267	2105138	19142	0.36723864	2105138	14509	0.22888143	2105138	16753	0.43001267	2105138	27858	0.32443526	2105138	24741	0.49285936	2105138	22003	0.54813033	2105138	16930	0.49971262	2105138	52939	0.8622404	2105138	21983	0.4250543	2105138	55290	0.71819806	2105138	16953	0.32213992	2105138	5353	0.16550459	2105138	5221	0.090626836	2105138	21484	0.5875724	2105138	54933	0.85213083	2105138	54450	0.88208324	2105138	38997	0.7081075	2105138	2498	0.06723122	2105138	38545	0.7561115	2105138	11288	0.27622086	2105138	33911	0.16796666	2105138	11895	0.31897765	2105138	11641	0.36207744	2105138	681	0.017221674	2105138	27814	0.48221922	2105138	297767	0.9993392	2105138	131742	0.9493487	2105138	13323	0.33437094	2105138	16686	0.19926342	2105138	26276	0.46158588	2105138	7378	0.1749149	2105138	14503	0.4362721	2105138	8955	0.23971018	2105138
