genome,completeness,contamination,location,length,N50,centrality
EHA05391_bin.538.fa.gz,82.65,5.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.538.fa.gz,879857.0,14121.0,0.0
EHA05391_bin.73.fa.gz,52.85,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.73.fa.gz,,,0.0
EHA05391_bin.220.fa.gz,87.61,0.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.220.fa.gz,1387626.0,45536.0,0.0
EHA05391_bin.117.fa.gz,91.49,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.117.fa.gz,1849224.0,15581.0,0.0
EHA05391_bin.491.fa.gz,93.36,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.491.fa.gz,1848120.0,67988.0,0.0
EHA05391_bin.331.fa.gz,97.29,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.331.fa.gz,1719624.0,60323.0,0.0
EHA05391_bin.263.fa.gz,93.26,3.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.263.fa.gz,2421099.0,21318.0,0.0
EHA05391_bin.111.fa.gz,72.19,4.6,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.111.fa.gz,1376026.0,8210.0,0.0
EHA05391_bin.479.fa.gz,71.67,6.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.479.fa.gz,1418837.0,55138.0,0.0
EHA05391_bin.454.fa.gz,78.45,2.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.454.fa.gz,1746939.0,38841.0,0.0
EHA05391_bin.368.fa.gz,96.47,0.92,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.368.fa.gz,2151315.0,128609.0,0.0
EHA05391_bin.495.fa.gz,93.15,2.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.495.fa.gz,1850376.0,46241.0,0.0
EHA05391_bin.208.fa.gz,82.43,6.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.208.fa.gz,1307103.0,3793.0,0.0
EHA05391_bin.503.fa.gz,67.6,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.503.fa.gz,,,0.0
EHA05391_bin.580.fa.gz,82.17,0.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.580.fa.gz,1935035.0,65570.0,0.0
EHA05391_bin.248.fa.gz,71.29,1.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.248.fa.gz,1573508.0,39359.0,0.0
EHA05391_bin.348.fa.gz,89.82,3.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.348.fa.gz,3434662.0,7835.0,0.0
EHA05391_bin.310.fa.gz,89.58,7.15,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.310.fa.gz,2075399.0,10506.0,0.984294
EHA05391_bin.97.fa.gz,53.04,2.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.97.fa.gz,,,0.0
EHA05391_bin.139.fa.gz,77.56,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.139.fa.gz,1558511.0,95796.0,0.0
EHA05391_bin.576.fa.gz,91.09,1.28,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.576.fa.gz,1818008.0,5013.0,0.0
EHA05391_bin.240.fa.gz,95.13,3.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.240.fa.gz,1387471.0,70377.0,0.0
EHA05391_bin.420.fa.gz,82.2,3.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.420.fa.gz,1945367.0,33666.0,0.0
EHA05391_bin.5.fa.gz,96.29,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.5.fa.gz,1993106.0,5157.0,0.0
EHA05391_bin.291.fa.gz,82.36,3.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.291.fa.gz,1454957.0,51780.0,0.0
EHA05391_bin.80.fa.gz,50.83,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.80.fa.gz,,,0.0
EHA05391_bin.431.fa.gz,72.48,1.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.431.fa.gz,1628461.0,10121.0,0.0
EHA05391_bin.40.fa.gz,95.02,0.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.40.fa.gz,2447933.0,6762.0,0.0
EHA05391_bin.396.fa.gz,93.19,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.396.fa.gz,2151342.0,80933.0,0.0
EHA05391_bin.283.fa.gz,90.46,0.66,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.283.fa.gz,1955658.0,5378.0,0.0
EHA05391_bin.266.fa.gz,97.03,5.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.266.fa.gz,2496410.0,31923.0,0.0
EHA05391_bin.37.fa.gz,74.08,1.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.37.fa.gz,1587370.0,119381.0,0.0
EHA05391_bin.693.fa.gz,51.05,2.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.693.fa.gz,,,0.0
EHA05391_bin.546.fa.gz,93.43,5.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.546.fa.gz,2080196.0,18409.0,0.0
EHA05391_bin.334.fa.gz,63.32,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.334.fa.gz,,,0.0
EHA05391_bin.379.fa.gz,78.9,1.62,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.379.fa.gz,1501775.0,7915.0,0.0
EHA05391_bin.409.fa.gz,95.93,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.409.fa.gz,1898908.0,18539.0,0.0
EHA05391_bin.363.fa.gz,98.85,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.363.fa.gz,2360135.0,53204.0,0.9822129999999999
EHA05391_bin.242.fa.gz,97.52,0.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.242.fa.gz,2062745.0,9916.0,0.987397
EHA05391_bin.486.fa.gz,91.03,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.486.fa.gz,1836098.0,88009.0,0.0
EHA05391_bin.664.fa.gz,71.33,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.664.fa.gz,877878.0,3137.0,0.0
EHA05391_bin.43.fa.gz,72.46,0.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.43.fa.gz,4244806.0,104866.0,0.0
EHA05391_bin.136.fa.gz,87.44,2.28,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.136.fa.gz,2047888.0,6517.0,0.0
EHA05391_bin.218.fa.gz,87.51,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.218.fa.gz,982315.0,15355.0,0.0
EHA05391_bin.53.fa.gz,96.71,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.53.fa.gz,2592151.0,9925.0,0.0
EHA05391_bin.614.fa.gz,50.09,0.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.614.fa.gz,,,0.0
EHA05391_bin.500.fa.gz,86.2,2.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.500.fa.gz,1067991.0,35162.0,0.0
EHA05391_bin.553.fa.gz,83.34,2.34,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.553.fa.gz,1838675.0,47363.0,0.0
EHA05391_bin.231.fa.gz,68.44,1.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.231.fa.gz,,,0.0
EHA05391_bin.560.fa.gz,92.59,2.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.560.fa.gz,3740719.0,70802.0,0.9885780000000001
EHA05391_bin.272.fa.gz,98.7,0.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.272.fa.gz,2523133.0,8706.0,0.0
EHA05391_bin.461.fa.gz,98.67,1.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.461.fa.gz,2154172.0,8974.0,0.0
EHA05391_bin.148.fa.gz,69.57,4.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.148.fa.gz,,,0.0
EHA05391_bin.386.fa.gz,98.81,0.12,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.386.fa.gz,1160809.0,11756.0,0.0
EHA05391_bin.123.fa.gz,72.02,0.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.123.fa.gz,1252592.0,87904.0,0.0
EHA05391_bin.533.fa.gz,69.57,0.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.533.fa.gz,,,0.0
EHA05391_bin.303.fa.gz,72.85,0.71,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.303.fa.gz,1965637.0,11730.0,0.0
EHA05391_bin.508.fa.gz,95.45,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.508.fa.gz,1712732.0,6034.0,0.0
EHA05391_bin.586.fa.gz,85.3,1.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.586.fa.gz,1178012.0,25620.0,0.0
EHA05391_bin.543.fa.gz,94.91,3.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.543.fa.gz,1933565.0,35371.0,0.0
EHA05391_bin.695.fa.gz,54.98,3.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.695.fa.gz,,,0.0
EHA05391_bin.518.fa.gz,89.8,2.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.518.fa.gz,1111142.0,12868.0,0.0
EHA05391_bin.652.fa.gz,74.8,0.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.652.fa.gz,1408572.0,4062.0,0.0
EHA05391_bin.554.fa.gz,95.25,3.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.554.fa.gz,1685125.0,14992.0,0.0
EHA05391_bin.197.fa.gz,75.55,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.197.fa.gz,1556355.0,4355.0,0.0
EHA05391_bin.477.fa.gz,94.16,0.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.477.fa.gz,1627090.0,6829.0,0.0
EHA05391_bin.264.fa.gz,84.27,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.264.fa.gz,2689686.0,14062.0,0.0
EHA05391_bin.1.fa.gz,88.83,2.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.1.fa.gz,2251897.0,42257.0,0.0
EHA05391_bin.360.fa.gz,94.13,5.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.360.fa.gz,2629304.0,26226.0,0.0
EHA05391_bin.416.fa.gz,77.48,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.416.fa.gz,1152568.0,30071.0,0.0
EHA05391_bin.427.fa.gz,88.98,1.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.427.fa.gz,1227822.0,5235.0,0.0
EHA05391_bin.318.fa.gz,95.86,0.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.318.fa.gz,2872424.0,143821.0,0.0
EHA05391_bin.118.fa.gz,91.58,5.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.118.fa.gz,2810528.0,8675.0,0.0
EHA05391_bin.442.fa.gz,68.24,2.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.442.fa.gz,,,0.0
EHA05391_bin.444.fa.gz,58.06,4.77,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.444.fa.gz,,,0.0
EHA05391_bin.124.fa.gz,97.6,0.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.124.fa.gz,5246960.0,101052.0,0.0
EHA05391_bin.273.fa.gz,92.12,3.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.273.fa.gz,1517416.0,76352.0,0.0
EHA05391_bin.506.fa.gz,93.37,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.506.fa.gz,1359318.0,3676.0,0.0
EHA05391_bin.579.fa.gz,97.03,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.579.fa.gz,2056669.0,6221.0,0.0
EHA05391_bin.119.fa.gz,89.11,4.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.119.fa.gz,1882217.0,22389.0,0.0
EHA05391_bin.655.fa.gz,84.91,4.21,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.655.fa.gz,1467710.0,4950.0,0.0
EHA05391_bin.465.fa.gz,76.22,5.84,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.465.fa.gz,2239495.0,41994.0,0.0
EHA05391_bin.492.fa.gz,99.19,4.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.492.fa.gz,1747504.0,35597.0,0.0
EHA05391_bin.150.fa.gz,89.57,5.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.150.fa.gz,1403033.0,63302.0,0.0
EHA05391_bin.338.fa.gz,94.97,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.338.fa.gz,1592640.0,142460.0,0.0
EHA05391_bin.188.fa.gz,60.22,3.8,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.188.fa.gz,,,0.0
EHA05391_bin.138.fa.gz,72.72,4.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.138.fa.gz,1646311.0,11702.0,0.0
EHA05391_bin.603.fa.gz,77.3,3.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.603.fa.gz,1594286.0,6080.0,0.0
EHA05391_bin.547.fa.gz,93.65,0.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.547.fa.gz,2411652.0,6492.0,0.0
EHA05391_bin.196.fa.gz,88.92,3.4,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.196.fa.gz,2795532.0,49262.0,0.0
EHA05391_bin.91.fa.gz,50.88,3.48,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.91.fa.gz,,,0.0
EHA05391_bin.325.fa.gz,69.67,1.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.325.fa.gz,,,0.0
EHA05391_bin.8.fa.gz,94.52,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.8.fa.gz,2387621.0,4950.0,0.994087
EHA05391_bin.162.fa.gz,93.29,3.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.162.fa.gz,1444752.0,12439.0,0.0
EHA05391_bin.455.fa.gz,87.81,2.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.455.fa.gz,1780032.0,55327.0,0.0
EHA05391_bin.505.fa.gz,99.97,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.505.fa.gz,1637159.0,16870.0,0.0
EHA05391_bin.501.fa.gz,97.95,0.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.501.fa.gz,2336160.0,38762.0,0.0
EHA05391_bin.469.fa.gz,93.57,4.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.469.fa.gz,2432147.0,28353.0,0.0
EHA05391_bin.524.fa.gz,87.62,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.524.fa.gz,1378934.0,51198.0,0.0
EHA05391_bin.76.fa.gz,78.13,1.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.76.fa.gz,2209897.0,3668.0,0.0
EHA05391_bin.72.fa.gz,50.86,6.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.72.fa.gz,,,0.0
EHA05391_bin.459.fa.gz,95.16,1.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.459.fa.gz,2048628.0,107175.0,0.0
EHA05391_bin.27.fa.gz,86.07,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.27.fa.gz,2145050.0,45998.0,0.0
EHA05391_bin.329.fa.gz,95.08,5.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.329.fa.gz,2233741.0,18113.0,0.0
EHA05391_bin.657.fa.gz,54.65,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.657.fa.gz,,,0.0
EHA05391_bin.395.fa.gz,81.15,0.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.395.fa.gz,524854.0,4631.0,0.0
EHA05391_bin.289.fa.gz,83.07,0.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.289.fa.gz,1337823.0,5106.0,0.0
EHA05391_bin.426.fa.gz,87.61,4.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA05391_bin.426.fa.gz,1782078.0,16660.0,0.0
